True_Angle,Mean_Error,Std_Error,Estimated_Angle_Mean,Estimated_Angle_Std,N_Frames
-40,2.1515965140640954,1.57092185044419,-38.852306837835414,2.4045547451508233,1726
-30,0.4593346898108006,0.32602948450057645,-29.599306632709123,0.3959265700531232,1714
-20,1.1122722447471072,0.7403189702682685,-21.028649893866618,0.852759797278477,1825
-10,0.22771037232429164,0.14884070419279033,-10.069173341166085,0.26314627778703453,1858
0,0.1883151770373498,0.1809734622607278,0.1145255503568495,0.23475417984318353,1923
10,0.250939402225179,0.1781981217569019,9.827683955280008,0.2550500527972879,1830
20,0.49078528105770514,0.3517482823170042,20.34032964352973,0.49884082912930033,1803
30,1.2359504946879876,0.3453998077124452,28.764049505312013,0.3453998077124452,1506
40,2.15605040997542,1.2882455461607027,38.047320281713205,1.5796723739176624,4332
