frame,pdoa_raw,angle_deg
1,-3472,0.043112480703927085
2,-3769,-2.6026215592411472
3,-3287,1.6908165752283482
4,-3382,0.8446094597737709
5,-3913,-3.8870538764720046
6,-3773,-2.6382795755016306
7,-3398,0.7021135282270164
8,-3611,-1.19479443422875
9,-3881,-3.60147818078102
10,-2862,5.483641400027504
11,-3287,1.6908165752283482
12,-3061,3.7057253900145075
13,-3303,1.5482766837654223
14,-3352,1.111804107196074
15,-3059,3.72357325121822
16,-2961,4.598596152267067
17,-3317,1.423562170949246
18,-3715,-2.1213314050000407
19,-2892,5.215317019927834
20,-3446,0.27464826449427765
21,-3390,0.7733608960315698
22,-3504,-0.24185407058804737
23,-2892,5.215317019927834
24,-3797,-2.852249634526714
25,-3277,1.7799092672552852
26,-3709,-2.067864585960107
27,-3946,-4.181655220227126
28,-2973,4.491396852906358
29,-2894,5.197432871059344
30,-3293,1.6373629366656055
31,-3041,3.88422049508131
32,-3679,-1.8005565779133281
33,-3518,-0.36652840245982304
34,-3735,-2.2995677458384836
35,-3492,-0.13499129137363944
36,-3653,-1.5689215544666966
37,-3510,-0.2952857524597587
38,-3279,1.7620903913439363
39,-2981,4.419939428268432
40,-3352,1.111804107196074
41,-3502,-0.22404355899955367
42,-3659,-1.6223733761797077
43,-3667,-1.6936446769275324
44,-3727,-2.228270634398117
45,-3205,2.421516932969878
46,-3448,0.2568377085415154
47,-2922,4.947107290309878
48,-3825,-3.101931908130577
49,-3358,1.0583634291294977
50,-3504,-0.24185407058804737
51,-3207,2.4036907673688637
52,-3534,-0.5090155127224778
53,-3075,3.5808003456284285
54,-3241,2.1006801570397955
55,-3301,1.566093627934816
56,-3165,2.778091807775593
57,-3117,3.2061250685754383
58,-3683,-1.8361952535052528
59,-3901,-3.779952039491154
60,-3311,1.4770103873401002
61,-3645,-1.497654575327857
62,-2846,5.626796699869339
63,-3368,0.9692976556422909
64,-3645,-1.497654575327857
65,-3181,2.63544971088351
66,-3432,0.3993229956525736
67,-2993,4.312766170785987
68,-3341,1.2097812296905408
69,-3565,-0.7850940315747119
70,-2981,4.419939428268432
71,-3366,0.9871106160536112
72,-3438,0.3458907709107
73,-3327,1.3344845406596306
74,-3801,-2.8879151011070605
75,-3123,3.152611605787943
76,-3591,-1.0166575482522429
77,-3149,2.9207511388576894
78,-3151,2.902917749533394
79,-3408,0.6130558323400754
80,-3575,-0.8741551982714575
81,-3438,0.3458907709107
82,-3456,0.18559571570171352
83,-3175,2.6889385341027157
84,-3249,2.0293923987071034
85,-3627,-1.3373121775053254
86,-3327,1.3344845406596306
87,-2640,7.473397315874171
88,-3563,-0.7672820327672064
89,-3544,-0.5980714993666093
90,-3313,1.4591941746649595
91,-4679,-10.768731649137058
92,-3345,1.174152790848094
93,-3368,0.9692976556422909
94,-3693,-1.9252950819703414
95,-3520,-0.384339149203261
96,-2902,5.125901335367577
97,-3025,4.027043684409475
98,-4090,-5.468589206756615
99,-2977,4.455667272528878
100,-3223,2.26108967798304
101,-3711,-2.085686656505312
102,-3687,-1.8718346397772783
103,-2918,4.982862179877893
104,-2995,4.294905441138403
105,-3414,0.5596219395482531
106,-3348,1.1474317604577764
107,-3295,1.6195453762209995
108,-2918,4.982862179877893
109,-3637,-1.426389913734022
110,-3544,-0.5980714993666093
111,-3528,-0.4555825247898039
112,-3671,-1.7292813034511196
113,-3520,-0.384339149203261
114,-2941,4.7772976953929405
115,-3661,-1.6401909616481702
116,-3583,-0.9454056421788466
117,-3358,1.0583634291294977
118,-2975,4.473531844818789
119,-2967,4.544994509645754
120,-3645,-1.497654575327857
