group,window,t_sec,range_m,A_human_scr,A_human_raw,A_blank_scr,A_blank_raw,DR_scr_dB,DR_raw_dB
0,1,0.844311377245509,5.53125,48.8131207789384,125.117720462653,6.5585331446225,133.84651285348,17.4345971343153,-0.585764750800827
0,2,0.904191616766467,5.53125,53.1730988925551,126.143227658799,6.5585331446225,133.84651285348,18.1777050755862,-0.514862433059596
0,3,0.964071856287425,5.53125,48.3113206349531,126.54034209454,6.5585331446225,133.84651285348,17.3448438365866,-0.487561132815219
0,4,1.02395209580838,5.5125,49.3044737701935,128.832012392476,6.61720427880309,137.671550132405,17.4442357202693,-0.576408235892146
0,5,1.08383233532934,5.53125,53.6819999875454,126.929618055715,6.5585331446225,133.84651285348,18.2604393992501,-0.460881752790306
0,6,1.1437125748503,5.53125,43.545093167349,128.915411388681,6.5585331446225,133.84651285348,16.4426501284774,-0.326044440102281
0,7,1.20359281437126,5.49375,47.5582547277652,133.042285798602,6.66928354603742,141.51750848366,17.0629345350591,-0.536409520396042
0,8,1.26347305389222,5.5125,38.5613446168174,129.939050682543,6.61720427880309,137.671550132405,15.3095525450632,-0.502090257985105
0,9,1.32335329341317,5.4,47.9132643147243,143.648209098554,6.86819589645111,156.0697497237,16.872261729597,-0.72037036077296
0,10,1.38323353293413,5.4,41.2960502269603,142.956573283985,6.86819589645111,156.0697497237,15.5813168338595,-0.762292089829897
0,11,1.44311377245509,5.325,42.0821908713923,146.704945744108,7.13001903799985,160.177637216424,15.4201530476435,-0.763142559641175
0,12,1.50299401197605,5.2875,45.9588175954598,147.277180667555,7.56943331983178,161.489575502379,15.666109585676,-0.800180621469883
0,13,1.56287425149701,5.25,52.2476649159651,150.727761541226,8.20829934159726,163.215114372188,16.0762739897687,-0.691342483985462
0,14,1.62275449101796,5.30625,58.4415147911392,145.128527570903,7.30944530557616,160.800230609662,18.0567408694697,-0.890677563683601
0,15,1.68263473053892,5.7,50.5724994159063,115.462077655247,6.45809574446347,121.81528527246,17.8761987738608,-0.465248371083795
0,16,1.74251497005988,5.23125,72.3900805899196,152.214455176301,8.49994356509345,164.156526825016,18.6052603573484,-0.656045146287759
0,17,1.80239520958084,5.25,57.3123047525951,148.328903979791,8.20829934159726,163.215114372188,16.8798937503045,-0.830691720062912
0,18,1.8622754491018,5.175,53.6697783034121,154.476895874669,8.94044737694102,165.291601687026,15.5674110007999,-0.587745081473764
0,19,1.92215568862275,5.19375,55.8100717461194,154.108233040681,8.8717850539646,165.432623005773,15.9740313931861,-0.61590629491478
0,20,1.98203592814371,5.175,46.2922736929987,156.539168124578,8.94044737694102,165.291601687026,14.2829852168531,-0.472555329119712
