group,window,t_sec,range_m,A_human_scr,A_human_raw,A_blank_scr,A_blank_raw,DR_scr_dB,DR_raw_dB
0,21,2.04191616766467,5.11875,59.522942870182,150.955588031202,8.74243865019951,158.633440078928,16.6610360330417,-0.430910961446001
0,22,2.10179640718563,5.11875,65.0001002473423,150.746522940721,8.74243865019951,158.633440078928,17.425628661936,-0.442948773099979
0,23,2.16167664670659,5.11875,60.1489739227202,150.133147134217,8.74243865019951,158.633440078928,16.7519125959069,-0.478363076373935
0,24,2.22155688622754,5.0625,62.6388165452194,134.14304453658,8.19882271229826,139.228722696922,17.661840966858,-0.323213598649238
0,25,2.2814371257485,5.025,59.7835762200344,115.78242390486,7.67737822410954,120.034788310428,17.8273790838095,-0.31328987229741
0,26,2.34131736526946,5.025,56.5528223747731,115.663804937886,7.67737822410954,120.034788310428,17.3448269508274,-0.322193118217476
0,27,2.40119760479042,5.04375,54.2860734338428,124.164575826336,7.95872769740081,130.074447275493,16.6768956795616,-0.403885598027627
0,28,2.46107784431138,5.00625,51.0942338238309,104.17249825071,7.36093329880929,109.565900031641,16.8287801750466,-0.438446622536094
0,29,2.52095808383234,5.2875,47.3077306077006,149.371509521614,7.56943331983178,161.489575502379,15.9173749499346,-0.677534460293459
0,30,2.58083832335329,5.2875,53.3693470659854,148.305028212625,7.56943331983178,161.489575502379,16.964570439888,-0.739772342091982
0,31,2.64071856287425,4.78125,58.6986504987747,99.5520227621414,6.83995320579822,104.204755093146,18.6714997240056,-0.396748970079889
0,32,2.70059880239521,4.74375,54.0488407726948,118.243863323574,7.08362811128574,125.166686788313,17.6506126195046,-0.494202913293705
0,33,2.76047904191617,4.725,47.088248268978,125.204799951674,7.16415373712046,134.901466384214,16.3549527529623,-0.647913836805331
0,34,2.82035928143713,4.725,36.7695579200041,126.117965879139,7.16415373712046,134.901466384214,14.2064702297289,-0.584794259511829
0,35,2.88023952095808,4.6875,55.5697055219933,139.871609943859,7.20103294396453,150.702804192899,17.7488659515548,-0.647835195816944
0,36,2.94011976047904,4.66875,67.2585165784883,142.758456680178,7.17216129346669,156.234762252844,19.4419447344432,-0.783516531745757
0,37,3,4.6875,63.5816536921233,138.66428911223,7.20103294396453,150.702804192899,18.9187404298562,-0.723134079819657
0,38,3.05988023952096,4.6125,79.4224749468412,151.913182555864,7.01255902628443,162.812613668077,21.0813377300063,-0.601851719088405
0,39,3.11976047904192,4.63125,89.744297777689,153.377907740339,7.0679918609116,162.185935230288,22.0742164591948,-0.4850076060532
0,40,3.17964071856287,4.63125,91.896271454062,153.246390625761,7.0679918609116,162.185935230288,22.2800370040957,-0.492458699908976
0,41,3.23952095808383,4.6125,85.79908302358,153.661259014279,7.01255902628443,162.812613668077,21.7521223304781,-0.502473219025326
0,42,3.29940119760479,4.59375,85.5005453507502,154.0196946221,6.96543961493112,162.165463375831,21.7804070647534,-0.447642187961688
0,43,3.35928143712575,4.575,86.9253490347848,153.202123248912,6.93279161290678,160.544230739926,21.9647659381002,-0.40659838495102
0,44,3.41916167664671,4.5375,81.4973499016235,149.722318941621,6.87688773247925,155.734809600916,21.4750310471821,-0.341983025424001
0,45,3.47904191616766,4.5375,59.4544874433759,147.658571944037,6.87688773247925,155.734809600916,18.7358541003856,-0.462540646868518
0,46,3.53892215568862,4.425,69.3511535759463,143.067248289117,6.63921849190075,149.004000009969,20.3787345650637,-0.353154060960209
0,47,3.59880239520958,4.3875,75.3296294051558,147.350130976514,6.65985538559233,153.049960337846,21.070020640249,-0.329653903329529
0,48,3.65868263473054,4.35,77.5442199197408,150.518225574264,6.83348584502971,159.706851874599,21.0981426452278,-0.514689182391145
0,49,3.7185628742515,4.33125,87.1907427297593,155.749789976824,6.92742326096566,163.558733033724,21.9979730728351,-0.424925360851749
0,50,3.77844311377246,4.29375,95.9457306603299,161.454487650798,7.01654251092271,171.189054766089,22.7180498741216,-0.508517462967749
0,51,3.83832335329341,4.275,109.848080732995,165.798712177913,7.00923872077208,174.522868602352,23.9024324376005,-0.445423798025734
0,52,3.89820359281437,4.275,113.98240402452,165.62035618314,7.00923872077208,174.522868602352,24.2233392215491,-0.454772569924108
0,53,3.95808383233533,4.275,100.037262448214,163.8734981308,7.00923872077208,174.522868602352,23.0898189433782,-0.546872366128036
0,54,4.01796407185629,4.2375,83.7734303136699,167.64181624853,6.91940568452434,179.386359897308,21.6607501012945,-0.588141197778581
0,55,4.07784431137725,4.25625,72.1629968865508,164.678416062475,6.96869000059089,177.296363151806,20.3032683073857,-0.641262918932248
0,56,4.1377245508982,4.275,74.1450365956315,163.155687784807,7.00923872077208,174.522868602352,20.4882246485228,-0.585002488622004
0,57,4.19760479041916,4.25625,75.1599016398581,163.33477509196,6.96869000059089,177.296363151806,20.6567011509024,-0.712423364764604
0,58,4.25748502994012,4.25625,51.7702257618928,166.723532015468,6.96869000059089,177.296363151806,17.4185782668935,-0.534058498029854
0,59,4.31736526946108,4.25625,38.4983193467241,162.021788821772,6.96869000059089,177.296363151806,14.8458125032327,-0.782528086868034
0,60,4.37724550898204,4.29375,39.9184205229342,159.837969684474,7.01654251092271,171.189054766089,15.1010037630589,-0.595920791689311
0,61,4.43712574850299,3.91875,40.6313535758396,151.428188607817,8.91113175038834,157.663623877526,13.1785685149168,-0.350495544336811
0,62,4.49700598802395,3.9,52.9463566818483,144.472592761946,8.73011654242591,151.165920279454,15.6563207934444,-0.393368509206034
0,63,4.55688622754491,3.91875,60.9401293954591,151.331972302303,8.91113175038834,157.663623877526,16.6994101461761,-0.356016245849843
0,64,4.61676646706587,3.9,67.0100774128364,146.431977356451,8.73011654242591,151.165920279454,17.7024015661205,-0.276359307787267
0,65,4.67664670658683,3.88125,76.8278769067918,139.929566348717,8.54586409817483,143.180715656888,19.0752569955044,-0.199500811703883
0,66,4.73652694610778,3.88125,87.1564982077378,143.705607817453,8.54586409817483,143.180715656888,20.1708758128591,0.031783742149864
0,67,4.79640718562874,3.88125,85.1368652690078,142.558105454611,8.54586409817483,143.180715656888,19.9672334669886,-0.0378522739200571
0,68,4.8562874251497,3.88125,70.587824781813,140.309599307341,8.54586409817483,143.180715656888,18.3394763375382,-0.175942888576355
0,69,4.91616766467066,3.76875,63.3365184999605,85.3392826788238,6.91377932744855,79.8762312429151,19.2387734711925,0.574628449339668
0,70,4.97604790419162,3.825,57.3792576735764,110.676305652441,7.89256371538908,112.161133281027,17.2307365765631,-0.115754694125151
0,71,5.03592814371257,3.58125,61.7803197252141,108.401786233018,7.24729025512919,112.350298789424,18.6134899260038,-0.310755864392924
0,72,5.09580838323353,3.58125,79.955885132818,109.958318808392,7.24729025512919,112.350298789424,20.8534956033018,-0.18692281197161
0,73,5.15568862275449,3.5625,86.2798575122964,120.915189231902,7.32262246409923,125.294733187151,21.4248555124543,-0.309039115235259
0,74,5.21556886227545,3.58125,70.9425664793337,109.531525415171,7.24729025512919,112.350298789424,19.8146248120251,-0.220701914572535
0,75,5.27544910179641,3.975,60.7382159150852,160.626937944674,9.22946556286562,168.960859683713,16.36570954771,-0.439354603198847
0,76,5.33532934131737,4.05,68.1698482690615,166.121939249407,8.321216458301,173.527238373036,18.268110159512,-0.37881325837706
0,77,5.39520958083832,3.45,91.3652757542864,163.020922013878,7.1837462815655,176.265666844134,22.0886036796508,-0.678487664948119
0,78,5.45508982035928,3.4125,108.542572385855,158.554804086218,7.17813218951085,178.257147187507,23.5917731598772,-1.01735092971288
0,79,5.51497005988024,3.39375,122.39142531239,161.369881232782,7.16527865295115,177.125025505732,24.6503581582846,-0.809148928592861
0,80,5.5748502994012,3.375,138.293648989758,163.307096036262,7.13310001921223,175.057495854001,25.7504784462987,-0.603513111342821
0,81,5.63473053892216,3.35625,137.608802795437,162.142254587017,7.07302833476162,172.435988857659,25.7808163719676,-0.534634086322521
0,82,5.69461077844311,3.35625,127.661438055807,158.104871509223,7.07302833476162,172.435988857659,25.1290866879012,-0.753653206621766
0,83,5.75449101796407,3.3375,114.514113263956,152.917471608937,6.97237800891334,169.605483314824,24.3095618010146,-0.899655603621829
0,84,5.81437125748503,3.3375,112.890831208279,152.412263882436,6.97237800891334,169.605483314824,24.1855549258748,-0.928399496215715
0,85,5.87425149700599,3.31875,104.221521043129,149.322415871878,6.85992016648919,166.851682057998,23.6327669110918,-0.964111629744845
0,86,5.93413173652695,3.3,90.1981470259763,145.966280677333,6.74938983853986,164.391725926553,22.5186620489145,-1.03254826094268
0,87,5.9940119760479,3.1875,79.3200319099427,147.050060517008,6.5606147358178,159.508605514179,21.6487669032078,-0.706378214152561
0,88,6.05389221556886,3.1875,101.059957778798,154.280107131122,6.5606147358178,159.508605514179,23.7526915474858,-0.289483730299103
0,89,6.11377245508982,3.15,107.677521498784,157.855268173452,6.63453738408722,160.448225966178,24.2062880980751,-0.141516784139037
0,90,6.17365269461078,3.13125,117.525624441228,163.273931261774,6.66485709799162,160.956459831863,24.9268345057166,0.124168766614947
0,91,6.23353293413174,3.1125,115.446112928543,164.445983830917,6.69872644972775,161.405144428182,24.7277414313446,0.162117973059243
0,92,6.2934131736527,3.1125,112.281081542862,164.639256367757,6.69872644972775,161.405144428182,24.486286881447,0.172320461126226
0,93,6.35329341317365,3.09375,114.26565097622,167.701930233363,6.74704465465847,161.779594854408,24.5760422733752,0.312286356957668
0,94,6.41317365269461,3.075,105.401873826624,165.55399114778,6.80099375590585,162.110112342423,23.8055191137171,0.182590967215315
0,95,6.47305389221557,3.05625,86.6750933114124,167.694535572798,6.85351905390759,162.466815709851,22.0396138670428,0.275084850987601
0,96,6.53293413173653,3.01875,69.5443959631332,173.669041419034,6.96545003711466,163.628633553157,19.9862591592131,0.517262070341361
0,97,6.59281437125748,3.09375,53.7930683878754,156.77238880602,6.74704465465847,161.779594854408,18.0322546579479,-0.273083351149373
0,98,6.65269461077844,3.075,59.6545244331354,161.596565592309,6.80099375590585,162.110112342423,18.8614202347701,-0.0275596052955227
0,99,6.7125748502994,2.8875,61.5411137790508,201.661498148298,8.61818723621282,181.772154502568,17.0749885338151,0.901912688253154
0,100,6.77245508982036,2.83125,62.274889661042,216.092795845901,10.2152727800528,196.100632302601,15.7012599713244,0.843225890199889
0,101,6.83233532934132,2.86875,56.2661820432839,206.494106433223,9.1642047811687,186.507507812105,15.763053234362,0.884226840430953
0,102,6.89221556886228,2.8125,54.9206550380469,217.101418286018,10.6476826363323,200.344861488882,14.2496122059111,0.697689053020914
0,103,6.95209580838323,2.79375,67.2689105001454,220.296027552098,10.9942855240965,203.827123790576,15.7329476464488,0.674893794097651
0,104,7.01197604790419,2.8125,67.0845682562634,216.946280398763,10.6476826363323,200.344861488882,15.9873506191319,0.691480009043288
0,105,7.07185628742515,2.75625,87.4136369864835,227.169323471386,11.3994310586591,207.612663203871,17.6939202747558,0.781916903304172
0,106,7.13173652694611,2.7375,106.549212724601,221.071586810648,11.4340351679702,207.649864284478,19.387014429536,0.544025538762202
0,107,7.19161676646707,2.71875,106.693954566327,220.430415073115,11.3425884077436,206.381885837737,19.4685527877583,0.57199883765759
0,108,7.25149700598802,2.71875,107.399946273383,218.509924538145,11.3425884077436,206.381885837737,19.5258378225593,0.495991809927776
0,109,7.31137724550898,2.7,117.697297993776,213.84647932275,11.1085724752845,203.838704404948,20.5021647985095,0.416309086324478
0,110,7.37125748502994,2.7,102.503681211552,220.04785067828,11.1085724752845,203.838704404948,19.3016241930111,0.664609612869357
0,111,7.4311377245509,3.01875,93.4040545248526,170.416413489336,6.96545003711466,163.628633553157,22.5483309458605,0.353042348807205
0,112,7.49101796407186,2.45625,88.7543462693788,124.195016804623,6.91964779503073,130.195991850721,22.1621127949336,-0.409868877715699
0,113,7.55089820359281,2.4375,116.760159348399,137.826552718384,7.01314938914534,127.216106245196,24.4276317797727,0.695815900226623
0,114,7.61077844311377,2.45625,124.457027557408,142.47225487408,6.91964779503073,130.195991850721,25.0987086928635,0.782653667339997
0,115,7.67065868263473,2.4375,115.494715770705,134.212751542019,7.01314938914534,127.216106245196,24.3329804875577,0.465033625152742
0,116,7.73053892215569,2.38125,114.755935794953,142.678703119258,7.44701323092381,134.479891392732,23.7558606679051,0.514036069306556
0,117,7.79041916167665,2.3625,129.035357654665,162.823025579506,7.56095133763313,140.016078084669,24.6426457393349,1.3107582370178
0,118,7.8502994011976,2.3625,123.100683412373,154.164596997274,7.56095133763313,140.016078084669,24.2336804208701,0.836134865350961
0,119,7.91017964071856,2.30625,132.931518965026,189.952604908904,7.54869819065439,160.2517857022,24.9151181081696,1.47684752017642
0,120,7.97005988023952,2.30625,165.527356695803,197.854159728281,7.54869819065439,160.2517857022,26.8199543590591,1.8308461558452
0,121,8.02994011976048,2.2875,167.43870109057,208.918107719635,7.50106663681724,167.955357965561,26.9746564539339,1.89564441335823
0,122,8.08982035928144,2.2875,187.414652569381,218.488437000632,7.50106663681724,167.955357965561,27.9536103712708,2.28469189984608
0,123,8.1497005988024,2.26875,188.417679835332,224.745973558533,7.48708006443476,175.816654362379,28.0161834850888,2.13263816621621
0,124,8.20958083832335,2.26875,205.200513964536,237.282337249976,7.48708006443476,175.816654362379,28.7573193371426,2.60410799977942
0,125,8.26946107784431,2.25,231.863370214585,253.343199984415,7.50971300244291,183.546111789948,29.7921760848056,2.79928125832488
0,126,8.32934131736527,2.25,213.048688683697,246.926802784349,7.50971300244291,183.546111789948,29.0571105100711,2.57646088541175
0,127,8.38922155688623,2.19375,198.414190439548,247.141067250292,7.74361309867559,205.17238673234,28.172581671443,1.61652014491273
0,128,8.44910179640719,2.175,235.233545122487,275.513101120593,7.77597193641641,212.099732926689,29.6148913835768,2.27204266935383
0,129,8.50898203592814,2.15625,238.944651966887,280.19804263054,7.77160258603809,219.203445068261,29.7557346103343,2.13235443508545
