complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
-4454.36677537302,6083.78220901144,-7580.1438766368,165.65625
6952.29507140416,3793.12147338775,3465.09883582509,-7265.81031526046
-3753.74438833353,6438.99250108009,5052.10205975426,-2508.38157576495
7513.75228297412,2747.12515680404,-3672.46744376682,-6244.84551948997
-3333.74661066498,-6293.32263983572,3598.04852372001,-6626.62002084202
7674.1911272531,-1700.21813909874,-1538.90505467139,-7299.76501388376
7563.45762555976,-26.2124872043404,-5000.69857344049,5158.35000274466
6000.07938910585,-4874.33635605184,4822.70134932584,5597.91796841122
7405.2096728378,2234.56649759104,-3246.32965354151,6353.22579180885
209.565673828125,-7293.59350849228,6275.12869487257,-2539.17920824635
-3672.09161823568,6936.09054478236,6699.60934796292,1940.20121080793
-4291.49648700223,6957.91651208046,6900.40263774218,-1267.24960373023
4625.07759124336,6859.53959669873,-4801.3520592651,6080.8754001932
6001.4815378,-3353.75254304009,4729.11822006742,-3189.08343357921
7442.09416656029,443.20302838962,-2558.6085779568,-6882.6607327063
-6897.25379450332,4007.17699875647,6068.26704932234,-2682.44065693256
3747.36483167966,6266.03864086469,-6145.94895837926,2610.30106483008
-6771.7770583463,3713.72144750964,3407.19439936118,6458.59546486616
-3723.87736969702,6658.93646500904,1288.39266304348,-6558.40801556027
-1308.60184384639,6920.40877787207,-6552.09481339358,279.994139337994
-1200.32152333318,7226.69872687978,NaN,NaN
-7144.65460392429,1998.21239739082,-4414.4377784469,7306.97138018405
-5100.71895389835,4886.04064595439,1725.98598458953,-5986.92414086994
7537.65909165611,-1923.52307783245,138.700553894043,7058.30983421572
7352.58653560696,-1599.12507497358,-2407.99680268736,7178.41511040461
-4770.52365078639,-6517.32138195769,-244.467190949813,-6715.69913265729
105.751219064597,600.340084653912,-242.35302734375,-7493.75289858491
5581.043594926,-2857.43723229792,NaN,NaN
-2540.4969122492,-7206.61338273048,-7046.18590536826,-383.401904172835
-6295.31220688732,-2367.50964939065,NaN,NaN
-1192.29647700055,-7279.70525143989,NaN,NaN
5499.483948683,3922.57497634951,NaN,NaN
3828.43828837468,6311.73333453742,6454.82625252453,111.05810546875
-3473.26802280443,-7133.92196762818,1313.48844479711,-6478.70218971593
773.339099702381,6908.03857499541,7032.21234889475,-2675.63637657106
7558.89096082262,1715.45102878665,-2334.59171388976,-5971.27531736122
2521.04188632425,6211.08017342089,NaN,NaN
1072.60951773452,7151.57263599405,5235.63163409248,5360.88384663179
6751.87190933092,-4782.66998162581,2348.49902279987,-6623.80498919194
-5567.11219665996,7010.24060852068,-7165.98160278652,1128.723183391
-6516.30974785314,208.78233985691,NaN,NaN
-5114.59941999188,-6495.96326988352,-3232.98001248288,6940.84746806758
3510.53632042163,5531.48682068367,NaN,NaN
