complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
2376.51934996026,-4231.00900596743,6762.33720123585,3294.02015505236
-5019.78382986696,-2757.46124477909,-380.147423278001,-8339.72599406065
4223.2273371587,562.000057318792,7425.30013477226,-622.913085292052
-2079.13798393786,-4475.70247683571,-251.976425170898,-7408.61990091297
-4374.72014727943,4183.72063390211,-7206.14902546008,-4787.86660850273
5247.71246178444,2960.38638190406,4683.31998948967,-7140.95769427751
-5168.41675768027,1663.42114558105,7712.41917359724,-3534.55693109505
5837.26688733285,-2144.02140546611,-3344.52727522334,-7007.54319872806
5299.38745809132,1723.57270262842,8130.15911595268,-3060.01433293968
4877.96566826052,-1678.1413269883,5029.74085776674,5998.62278302123
5593.29314360441,1499.79144163585,5295.05471379207,-6211.04422760424
5733.24002655651,2490.38109979698,-3737.80663254203,-7625.59548704242
-6566.82554523329,-1893.15285429183,5993.66988950276,-6385.93782231165
4883.9473398074,217.479683929557,-4777.61950084181,6928.31814578904
1729.10917674785,4624.91812725958,-6259.89592840405,5405.00331258457
5441.50140517836,2408.7918341188,-2439.5365214931,7287.53074972124
5402.61626962047,-468.87060546875,4162.17139571385,6432.60618436379
-1774.2081407712,4237.65151079674,-6430.88314773438,-3583.33407027047
-999.200292389693,5617.8857274159,5056.78071115633,7037.51619764239
3923.4865172764,3375.97891538889,77.541015625,-7131.29834151747
-4393.96413313953,1260.91995666205,-6802.42225159376,-5529.58418386753
-4862.51481692464,-3716.5531327138,-6215.20248351048,5647.32941673601
-1959.43325943873,4828.53340718985,-7835.96189852498,-118.773719787598
-4682.56684543631,3459.8745314516,4805.07905762529,6967.2441559233
4973.83384680583,2917.55489993914,-771.809608459473,7035.927865529
-5716.31421515056,-2773.6960619953,-6034.13512107982,4998.67615187063
3052.22753603234,-5781.31809346429,-6112.97031303651,-4750.83513143253
-5621.78283144663,-2553.00152860131,3283.85688436941,-7779.55012390181
2546.65800688545,-4254.94632531982,-8045.09761981261,550.48268510126
730.780681085149,5713.77798119651,-4197.52085482469,-7265.43608105715
-5376.39212449049,-2896.75683225211,-6301,6195
5269.5528705423,-88.7869592556486,6745.21323456119,-5414.59720461234
4855.57018508321,657.277097536359,6912.34654418892,-3880.7850452702
-1312.18814286323,-6188.5893830856,-6550.11180828839,4381.0125830756
-1879.69064944479,5512.93108112149,-5886.52589926573,-6376.91413617977
1823.63993824743,-5972.35684370968,6807.1371598343,2980.78135947548
-5485.343929321,-395.676008730439,-8148.38203014501,4698.70062118471
-4861.20691457281,-1834.57664420145,-4767.40913059712,-7631.88378504194
6056.53539903212,924.411177655998,6742.44120492386,-6379.03364912124
5296.55046962681,1171.26976531191,-6268.01038711684,4430.9314924448
-1576.61141629702,6361.48385845266,-6632.7500155315,-4835.53557645601
-5819.06285489796,-607.753897585684,7731.32598843535,-4093.27931476568
-6536.61596503574,-2398.63346891874,-4649.45910270501,6856.09742947042
3816.70438470784,-589.33145904541,6563.79592180352,3981.71276354802
-2805.77767246972,-6329.45889609915,7760.54356795316,-2595.88527494534
25.6175616515642,-4483.84380245308,4038.9731879959,-5662.17567110882
-5796.48690208656,-2468.31694012285,-3209.32941017008,6900.9025448408
