complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
271.866774781615,7633.7450948208,1830.58201326527,688.301863704819
-3690.18421670116,-324.649895777108,1700.23077518359,4293.05602821224
1652.70981119704,-7127.34715003276,-312.587771508002,1733.62002384635
-659.297039922384,-7295.49295021233,1583.94386980482,-1244.44469823629
-2948.85963260561,4120.79136018895,-385.231858322989,4353.41097461556
7450.86239475294,-2385.36542881728,1091.62894116401,557.263553916231
2427.32016776477,-2122.37960385688,-254.50732939901,-4100.85594969526
-2468.5733226164,2179.88308768669,-1521.95577058649,4561.57380563293
-2925.20120681264,916.636737261049,-799.664443535761,4873.70959756278
-1724.17221877981,3528.45743165467,2813.72935870198,-2252.25020987024
-223.765999571324,-3010.52645309204,1327.89863684122,2489.80287290612
3011.77908951438,7196.39206325993,692.839453909516,-1361.64965682254
1237.59354193066,2996.46642310334,-3299,3616
-3913.28026478925,-6840.89032279015,1260.72064183952,354.795562829864
2775.39741969876,-1295.01721394148,2599.63412150915,-3262.504414445
990.729311494847,1616.77510107077,NaN,NaN
2893.69610697604,1558.2587436288,-1542.82991644978,-3431.98241756692
-1769.00471596808,-1767.46669490358,NaN,NaN
-3075.8039297748,814.681637656063,-631.30905467362,-3112.62646480763
-1820.31993481186,3450.05764679391,-211.726303100586,-4129.17255713959
-1651.8896617651,-2285.01227854535,-4291.72869669173,-572.536017474006
-1814.32229295413,3587.6252430943,-3450.09866233075,1534.67111921064
7072.55552792175,-2961.01326131855,1576.19467703798,1292.11505386437
-2943.17836434657,1284.12927933008,427.522436539077,-2957.20617852325
463.192513704732,3117.27708615024,4250.84535618758,-455.761960027222
-6585.13762132305,3290.90872077345,2010.44801714984,1693.2803704062
-2563.76480069379,-3329.06656797373,-4240.86589985321,2438.06011144633
-840.638233229905,3255.33604566854,2132.30478883795,1042.93529974804
-2993.50698887572,3689.91263050351,-3618.16499888442,-1018.34016536972
-902.667679385068,-3205.63575163442,4394.54599500497,-652.74822901627
3498.06323126462,550.951602888696,526.259482120714,3398.86996533845
558.911681236105,-7082.79277708665,-1664.72353168233,12.1652085749864
3556.55359516385,-129.017307430519,-3632.95254483984,-1464.41987532199
463.257862572531,3784.63258914537,1834.56475322897,-3850.72387060042
-3884.47152592224,-6862.65612894093,1452.07814311383,-1861.18477001629
329.382880010288,-3912.62828307615,332.378219604492,-4443.33459014077
6561.43005470988,-4658.71497627703,-1730.99912698184,-1264.39389044944
-1784.05979855746,4339.62496356519,2720.93244016094,-1375.6993531201
1064.66989008816,-7081.34841809055,NaN,NaN
-3623.00143316728,3834.43145392045,1792.72829266634,2373.1504076087
-1721.79417669782,-7048.66273200663,-1617.41722929829,222.320799798793
-2215.98422897196,3594.16854089245,622.253688567965,-3942.61630227542
3.88981628417969,881.07118863421,NaN,NaN
-3265.69975936087,-686.612751116071,-3810.48485300793,-970.146322572989
3986.95294773629,6554.82820114231,338.097977157389,1116.00144698092
7441.31041137183,-1767.11997877838,2269.15056449101,548.402761961213
-2806.21616900223,2756.03072170842,39.4514263864291,-3827.69206786745
-6712.76200491892,2690.26176692775,-2257.96520857945,-1182.79643614234
-1909.48140665225,3107.67453266294,-2846.71053372539,3734.80362310714
-7930.41490663832,2244.83546432163,1104.96970862335,821.86474609375
2777.02145079534,-2023.01064346417,669.792554041315,-3538.40172693505
-4741.42735230888,6850.61696018557,-1204.51026647625,-1686.51061689338
-2485.43678807833,2720.31197387549,1901.28953887239,2400.31057838832
6819.5788440915,2364.76207771396,-455.97263920259,-1828.54294227458
-2972.35643940945,779.872050562573,1692.7909777682,3248.18465388625
6799.0350126825,-5792.88888880807,-1955.46367041032,-1506.53227913738
2241.1416358934,-4079.34325508979,-4423.57978009348,-181.192391604268
-6811.74073275498,-3973.96749919361,-1759.88500965048,-1046.72645780775
2483.4334825881,-3101.15786807777,-603.603637224623,-3420.67955160316
-7415.9618272335,3164.87787566757,445.887764581068,1165.40181778992
1362.84999847123,7085.54520390733,1780.20131380113,1151.66742429953
3760.84723115444,6819.84305358984,2001.03287369873,-222.115611141141
