complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
1843.87890033267,-7403.37286985454,5846.79263287375,4057.92844934809
-1540.73425826562,6506.92174469273,-7461.98872699233,1984.27135862349
5424.04697677431,-2529.60353060913,6648.37140457643,2146.3274262607
7198.45209909215,90.179032492301,4745.02128905069,-6233.84727740389
-5274.95668950531,-1708.37764988083,3217.77323976627,7380.12325602071
-5437.52122666602,-2458.70084020051,191.319213867188,-7156.0437990858
-2939.35522650978,5350.68503589317,6339.71633543772,-5590.61642069118
-6063,3543,-6152.80553848522,3560.20399406892
-5618.41752664517,-2455.27763449533,5515.09809743252,6345.69759842984
6479.06426869766,-3493.60898891715,-5520.02952313659,-5381.4511082588
-6059.70909965125,1190.53714449343,5038.8903053262,-5882.49945313731
2085.88400222548,6594.00972673802,-7075.13604573478,3372.00481441466
6969.11697364639,1642.71194660058,-1628.37491736387,7325.98447104211
-387.873760059783,6451.39525983637,-6872.01164657865,-3901.00997270848
-6838.58775048428,2947.15431497708,3299.0990129691,6728.32594951541
-1056.67177816538,-6412.78322983141,-6838.28771544497,2622.82996556036
4327.44910368902,5512.65678863338,6700.76486520003,4038.44392461216
4278.2472635905,5441.96677970498,-971.048095703125,-7023.21520203507
2424.62132127539,6696.89026070387,-8044.76444593764,1089.04388903973
3381,-5853,5824.75938207727,-3473.00410841475
2535.78644631917,-5160.8206293549,-6761.33474574345,3421.97014309607
5441.35795725577,-3285.14787862857,6265.49370351306,-2057.97097205801
-5048.48511563577,-4371.21869150083,-3199.33048008125,-5956.54920561686
6081.18520135787,-5530.56023784952,6350.4799080547,-2006.96426676172
1320.84562026515,6534.52888104362,-7448.51146189034,-90.3912582397461
2791.95473283866,-5767.9172307256,-7426.68393334381,764.319680156658
-5710.39600667892,-2499.17770039512,-1757.64999620822,-8094.06696250074
-5961.21986575638,749.667477384992,2843.57163156714,-6514.0597395574
3588.74676261654,6523.00763427641,-4081.49292813483,-6894.3167156078
-966.373323260613,7002.37771699824,-7683.91017563528,-2065.3786065753
2098.90280862301,6518.68801181318,-7263.85196802369,1882.8126518082
5201.08800095659,3333.11147854196,772.840192348478,7505.80518931567
-766.778049070986,-5318.83278950851,2296.18975050134,6503.72481655654
431.335777633211,1027.95936952591,-7463.8736891919,-962.772791592006
6912.32416263888,65.7908497041869,2276.90251234223,7457.03049026692
