complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
-208.656191219169,4185.23084109295,3469.07591568324,7094.90355389591
3198.79342575402,-3785.24873737374,4556.64176269383,6039.78872614317
-4664.22939070325,-505.363170905001,-7377.78032516521,1757.38251373668
-4642.15866595957,625.655727679913,7290.17332437329,-628.669063153375
-3908.50450128969,-1801.33657072132,5616.40475848954,-5314.3894885786
-3688.44713245739,-273.302972123335,7693.60587545953,299.478996520642
2956.79206136738,4199.00978816203,-1.06608256713648,-7566.16257847635
4389.17897415754,2972.2676743655,523.04605664912,-7185.72567706042
2332.49253439653,4596.48263551265,-7400.17196780023,4876.70234281009
4782.07193955929,-1565.42143795962,7727.36715824917,422.050552368164
-897.228936488125,-3301.19648486716,-3770.47589181434,-7843.5434606393
4358.40703608679,1673.11510573353,-1075.44010016761,6788.65728827907
-1264.13628420346,1846.22431121669,6078.42789529714,-6488.13652764637
-3229.56801500573,3014.31342006507,-7277.72932768213,-3291.71752473678
-1014.02223968506,4902.65354737802,2004.72805050732,7150.4908525108
-95.4848549797141,-4019.91554789978,3968.0185364614,7172.29421167451
-1988.06711647727,-4125.46965750275,657.306955799205,6943.38259061925
51.9461359977722,-5795.0491763301,-4428.25039127173,-6961.08999034436
-3738.48614623037,2958.86371776035,-6278.73853344052,-4149.97835549598
3774.59011073694,2379.59256055363,6858.39097730227,-6676.60030765187
742.352241516113,-3021.51609196021,-3979.55813146217,7009.1131108984
4571.3984457895,3321.14067385448,-2440.7228500306,-7957.97794366847
-2990.30024561047,4479.58610334474,-5819.55991651773,-6953.68115084155
-4254.82274560886,3567.67951977978,6367.46818354946,3748.04704259858
3410.1207368608,3850.6988783931,-5648.17443867156,6327.26925235319
-2837.85249436925,1964.01211087028,-6641.42970973316,3485.13220795975
3419.77492852774,-1935.27973462251,-7876.40316310997,3060.94766437802
-2818.62436494079,-398.58245218037,-6135.96031791798,5167.99658953173
3349.21139538281,834.500840676644,-6427.07505504559,4108.09296464809
-4301.16210470709,-3187.93467278928,2223.15715246836,-7433.84166889703
3686.68631759675,3700.68636836504,-600.963179202732,7045.35057086179
-3860.91947665812,-2741.60217745735,-6073.26160252264,6832.57673990718
-3752.72409871986,3449.08826629583,-6830.23179346156,-4245.61890180716
-2611.25756613449,3388.21109523528,-7400.64414400392,-4994.86505049596
3246.92146171694,-4019.36716785471,-5778.28294027245,-6201.58349776418
-4155.76722068514,1592.13523544308,7403.89885799139,-127.243632467748
4126.38712201954,-3369.84781961474,-6511.26405239297,-5668.11362401697
-1482.64452423698,-3729.2728248595,-4091.55729512397,6309.41160954052
3133.37261889856,-3703.75347202346,5890.25118495363,5043.63537702406
3198.60749768285,-1089.85546875,-7289.40712555423,-4305.5058851009
-4985.86236423053,-2313.08318317567,-7224.9425571734,2302.22781248975
2038.82723236084,-5402.62878507387,6873.19974523915,3495.76899415105
780.157806846646,-2252.67581322496,4507.34336314778,-6938.46830486336
4585.51006952432,580.80850632662,-8109.38296928715,-787.402413211652
-2907.3486172863,-3443.08104103437,-6603.70038932172,4562.51811487804
1721.87867405129,-4529.15323932904,4120.58286472433,6194.13460056476
4515.91044327903,1028.84088572997,3940.71565467228,-7606.6052919956
-4432.4490699322,-3733.33860201875,3861.9421062167,-6752.91112937845
-2812.00476888103,-4185.59103256545,-5378.26028772408,5825.62168660616
-4502.62674307016,-2116.74788182898,-6960.96521097171,3589.9984212643
-3952.68302905882,3472.37082224791,7617.51180613829,6518.17015932368
-834.817136532376,-5155.28759765625,7021.56957163819,1220.58694473006
-4091.65468548274,-3052.33139033185,-6959.19013042126,6323.65468372063
-4071.28193851006,-4372.83019500855,-3449.79808494655,7104.86912981642
-68.2360490371186,-3837.89182266584,-3334.39998435652,7333.60710680516
1392.13523509565,-2732.82847022212,7220.87230301103,-3498.66326984401
1581.77057388666,-4512.14768443172,-7091.33380810257,4557.14041607014
2593.62215333701,-2347.27832705015,7133.46192731758,-4489.38334643171
3618.62138255196,3653.10435116388,-1028.5841496844,7019.48380358685
4892.52653545346,3348.44298458274,-4030.82519886294,7136.70610908983
2647.25758004262,-4159.5845419464,5547.73547606376,5963.20791757606
-1103.54614468319,4105.10716743009,-1651.603823008,-7515.49342223093
1840.67841326205,2387.85110427227,7749.78946089491,3660.37245862332
-523.554806244391,4408.26972594205,-3922.58028070745,-7426.73864787526
-3342.45623614337,3404.62365438974,4677.86877354542,6576.13933673524
-4091.26362888498,-2236.27277079563,-1687.72350952913,-7753.89764002627
1569.68408203125,-4771.58193885484,-4610.06875113933,-6985.81964813656
655.929947683744,-2192.96712131685,4648.62036685632,-5134.60910202141
-2423.01647427551,-4004.08862767292,4231.0782738062,-7148.64003557388
4003.64073596986,1796.22511706259,3217.09991363915,-7428.89928224002
3217.40731386241,1676.38644290019,-6758.98041722398,-257.366559211066
1176.47755732063,2693.42093221681,-7205.84190656333,-3433.92157114647
-3573.68166086303,-4129.29645967653,-113.663589957893,7297.6557864821
3989.46952349672,-3150.02748789182,-5871.46378792371,-4275.40327134292
-3797.36511315997,-4047.27518421516,-5857.0122106735,6470.25450439681
1343.74853943615,3896.78312970535,5368.30159038307,-5576.80152881919
899.339267225151,4713.98823172007,-1001.79695713348,-7237.85063299551
-3637.83194876601,3773.76573344057,6719.60114171115,5267.74792595302
-162.997488839286,5293.70305554154,-604.272627484302,-7287.21064629025
-3884.20938884256,2909.45833721003,-7473.94612546202,-2532.94020152675
5303.110770811,-17.1367952181892,-4348.47188080775,-7577.54282243006
-1365.93272201797,4100.40970219661,6874.41882149219,-2970.23599663842
4903.99281019837,-2037.83985159738,7522.56850026642,176.831146240234
-1881.4994180417,3600.10183410958,3986.32879843148,6535.51564489351
-1674.9180398131,-4176.50224033055,-2144.28032748116,7547.81251463335
1406.39772796631,-3661.83471463454,-5518.09815071278,-6631.94457903784
-1986.92754182605,4276.46915111396,-4246.6237536027,-6609.77641616491
-1090.32863776208,-6408.63931884364,-8256.99480547328,3303.56847760516
-5559.83760791698,2763.62886868869,-1887.7097920703,7658.81491260982
-579.91356671032,3977.96894344694,-4270.89820788327,-6552.58532101341
-3716.13941665169,1586.21479355103,7848.75667556655,3524.83296222256
909.9252344115,-4652.79916560535,1660.49830825976,6922.2861686503
-3315.64287357684,-3672.2385001403,-4958.3008688986,6388.75808891106
-3343.84160481328,3593.36542454847,6712.76216199279,5067.0454748109
-2528.78494658033,3664.62016495345,-6214.78453207842,-4329.77447547335
2691.05323952797,-890.513121313282,-7069.28155055738,4382.74515453205
4069.46991820484,2796.83408071166,6120.19345952131,-6138.07509348467
-4094.17686471173,3376.84522804054,5326.06547307613,7118.52313757548
-3693.65174666126,809.329411917755,-1449.98659747456,7971.40661536848
-4269.29409329375,-2718.00585699031,2065.5941108921,-6858.50091870672
2012.57141735978,1952.63037109375,-6869.57046092727,3955.34060372561
-207.148818969727,-3638.7912904502,7637.2742505829,2383.70926516445
4765.30522748933,1715.52633982948,9.1727294921875,-6779.65580850429
146.883163676429,-3266.21582922004,4373.29060800588,7078.24137743614
-3710.34966660452,-3574.29916121971,-6926.66052082523,6167.89724304632
-2198.7779648639,4856.91384222351,6898.79221016373,6365.37409802423
-2660.64547841934,3809.50841591446,7317.43197609589,-3287.83615777957
-0.0381064294477795,-2631.12278231197,3561.72721707814,-6273.28701447526
3244.23845077706,-850.61663443116,-6880.08164228108,-4070.46521398122
-4719.22421522259,1076.93831938032,-7485.58719795948,1219.53339074207
3436.24911596687,-933.415767337269,-6775.81412497171,-4511.03800707822
596.636456998001,3720.78154718679,3942.0630640675,7219.75154442747
-1867.01818424457,-5422.70760938972,-7169.53344867642,3218.22584013301
-2229.44637215693,3540.97794568281,4349.39910253438,6781.85771013082
-2653.49544184455,3409.99361678665,7280.23675244789,-2851.19027865626
3238.97054478898,-337.557144165039,6416.45779789487,-3943.50814841694
-418.448913574219,3695.25747113086,-4435.21165100822,-7076.40609068012
-2192.89579387009,-3820.89316390419,-3926.13634032515,6657.69004001062
4289.30257426001,3268.95404572126,-6083.39799131839,6311.74359274934
1741.64339164019,4773.00308283265,-1566.5264278787,7582.67844982714
-2900.79568005259,4497.75723099856,6730.9242502996,6776.51320719228
-687.524559020996,3561.77679210401,5400.0755082428,6572.87479214403
4399.48662956709,2247.7080937073,-7250.55264035349,3521.15528521472
753.509939177166,-4657.63521147151,1150.01764705878,6976.54224622134
2759.89541521849,3380.5312193703,1629.41838116796,7578.4298250988
-3463.50956180827,-3023.76361318971,-4498.10161766202,6780.33203347507
3031.02613596395,1361.99433270257,-6651.76845461263,-2280.94523674393
-4303.93917323505,3102.80430364072,-6232.13896394264,-7114.59516039407
-2663.22875742348,-3830.22308539384,4409.94607542207,-6618.05344077471
4404.20648938675,1307.24257979179,3828.5188918012,-6929.73700675671
4725.56398952306,1936.20285022982,5332.45632508108,-7239.18495178403
118.750877472291,-2900.93760701857,-6026.21777509358,5762.62543613664
-3144.64144379902,4200.3629570355,-6905.79334797542,-2587.47824488032
-731.618186950684,3804.52102042841,6719.39397196863,6324.52698748071
2223.64490784298,3511.84868761482,4797.32152907902,-6161.24991023933
-4747.35719055662,-2290.42824221008,441.39599609375,-8010.73262413352
3776.48827231203,-1821.38171817296,-7275.96311653685,-3496.20312805205
-3907.19732284621,3198.69206575851,-6140.42557107197,-4465.52769098314
1364.20927838265,-4008.86035056835,3923.96710917435,7436.72439658167
-2462.59313511225,4901.80340456769,5195.78973522267,6794.43186597246
-3312.0499275401,4084.31648809615,-6557.00677239537,-5526.39071799056
-2938.52288818359,3394.01240089966,-5036.42227998836,-6546.13371104108
1932.67925393112,-3894.41054273094,-2759.50173127639,-7005.08839932373
-3363.38116691179,-3515.0348781625,-4220.29108197873,7005.83203217726
-1812.15112895697,-3328.87690781291,1869.67473369712,-7712.75551292375
2476.39941236224,-3802.0117581254,1731.19886434577,6730.19197512574
5907.42516929036,428.028564453125,-2550.14852816827,-8265.52936933031
-3779.03338740089,3625.34065453453,891.235047025372,-7312.33736350713
-3733.71136863292,-3593.88518769295,5677.855748566,-6959.96092385645
-4922.22806731681,-3805.18327905361,6964.88654155917,-5878.88590744749
3524.51703435872,696.477648253835,-7502.74150154724,2951.99375826848
3785.37480110347,-3017.78945680371,7700.59994181174,5017.20086024054
-4071.83987904037,-3044.3595546908,6277.94428901212,-6298.38217693957
3853.97212392876,3180.99304652826,-4925.80371334046,6589.49303302805
3013.15894345251,-3110.28468312246,6396.55656447628,4450.31888577473
-3631.37004561519,-3823.04645521262,3362.63151471214,-7170.63769282598
3160.58715977728,-4027.55901257374,-6755.25748447491,-4003.78332058876
3941.29468772871,3404.64319498141,-4198.47236620437,6766.19989809311
2600.12110588017,-4268.75822851505,-6789.8645018646,-6569.09189295739
-3804.22488031268,303.465697623588,-2674.18984674877,7776.16007009095
-4014.2690686052,894.264350891113,6824.43124641728,3124.35066572694
4429.84356263423,3803.21014172228,-911.644332885742,7494.1574494638
120.075134277344,-5547.20473566315,-7374.53336293986,1780.36986755435
2124.844224844,-3704.2435566347,2215.48535734352,6750.64814724422
-4648.16242569834,-2075.02442600092,-7803.75910435093,2185.29391619422
4232.56256569582,5448.51468693556,-6391.88149612929,5482.83785531715
936.008202235651,-3702.86482903753,4999.56391183582,6532.0749300202
2781.77866882122,-3381.42676122824,-1689.6370166979,7913.35743375927
-1431.3001404809,2536.19908798472,-6669.56985771182,3876.06707889218
4212.84664560222,3960.91276705022,2974.33530066168,-6829.26928960506
-4720.92324985111,6895.33900019415,NaN,NaN
3754.99215975279,3604.07905400373,4482.94612801241,-7128.95206773809
3371.10550613722,-3083.91581609667,-6963.41678183907,-5544.97271984812
3732.6635448162,2132.76815770652,-7119.54973183004,2947.6695082728
3278.34296168282,-183.164669811805,7166.93575612908,-4504.83585700465
3479.03823132724,1621.82158476245,-7822.40677051307,-1595.85073743772
-3283.88766342398,1777.41653307349,-8198.3387156194,2584.06383160867
5090.97495908056,-145.333486152695,-7150.20440821703,2317.73788654672
2057.91379406709,-4118.40055619919,-4599.50341250216,-6203.55187650289
4963.78019601252,2043.89737295026,1885.6490118658,7358.24192726192
-3723.06949673967,-2566.70681113362,6433.63637926675,-4964.62506249719
2725.06998441326,-2180.85785593431,-8126.90598150256,2599.78892957529
-4285.08542365521,1198.62549467773,6962.95013652263,3665.62095053515
561.504132231405,4376.11325120372,-2740.61103807784,-7110.39520253913
-2576.58795982382,4616.04659035755,-7759.70364358495,-368.843206879655
-3404.20673193701,-2480.39339505242,505.2109375,-7260.37862556162
-5409,3190,-6288.13774098946,-7359.30425347344
2185.36321892873,-2960.80559836246,-1335.69369982798,-7307.91454265314
2704.53919816198,-4320.94624286319,-4907.42873089617,-6174.44289212247
-156.134708702035,-4689.65381939698,3084.90637752964,7922.92160066594
-3935.33726428519,2603.33091658912,7057.16681924659,906.918307415558
-101.78076171875,4927.22639802969,-4265.3090869465,-7009.42057371032
374.448209195524,-5149.5101898538,-2296.14426881481,-6709.53885740152
-3052.0246353669,-4173.49567930572,3992.76457655368,-7400.76054669064
4015.26467605148,4584.82185933693,-4068.17213442022,7231.35627572895
-3951.07519662095,-2140.56060858083,612.938929813744,-6874.00016824884
4485.10186341152,3477.34672247015,-7259.06412458523,4809.06169851718
-1893.67365996417,-4696.95156232168,7489.14459046918,974.711448598131
3756.18737771664,3562.28864034017,4741.22213107473,-6516.19240330049
-5156.79707414582,-1750.62747657606,7271.69851231938,-5076.28692373295
-2251.97875603506,1993.87704672207,4446.13790143857,-6474.38897755967
-4274.35427238722,112.9658249048,7759.17481096665,55.1538051897754
-3758.7696403337,-2670.0830071874,-4607.13529542966,6027.65465428182
6867.17748583577,6668.96632654718,NaN,NaN
3633.01728430614,-3555.97541717808,-6500.85844716632,-5730.40353393419
2262.93140746508,4525.71274832745,3468.7759157056,-7612.84847369542
4125.74663046863,3374.60199014498,6079.84765813125,-5795.60383708242
-2297.65776662543,858.580085332103,5869.10029758022,-4979.1176028544
-3704.02708926388,3333.15768248797,-6909.87425678351,-1388.71077137169
2358.78881966566,-1760.58879740098,6397.90195934019,4231.76865664524
-2449.86044125157,1210.44261382316,6919.54052438012,6200.69291415505
3597.31194822817,3370.26171979457,6126.63750546347,-5656.89752383099
2464.16661943394,-4128.0422818947,4961.46592349626,6428.70259483844
2648.76962895016,5156.47056546397,7309.75926463325,-6685.87294869376
