complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
-487.435499207607,3276.51867219917,553.741786790931,-7224.04506349369
-2054.44093419648,3691.35907627477,7261.97466450043,-2907.30730197263
2215.31309014558,3908.66939341078,7432.13589632188,2169.99889738893
79.3955078125,3067.15018418682,4257.98284795007,5773.22718735644
4257.70556858473,-917.765526727883,-3790.28301416588,-6074.91564267057
3189.51342529258,-2577.35167526836,6367.36869145331,4707.64862207966
-4490.00522912492,-287.720220592915,7239.2976061415,-540.952957439066
-2324.71526986409,-2504.71392285869,-3162.52253907792,-6881.75812765704
4741.20267512823,-496.44082148847,5074.58474618176,-6712.1417105429
1917.4317518638,3778.10262200288,6894.58571899276,-3919.43005137774
-213.842231040726,-4047.39911326829,1505.35099128622,7508.11210990662
-3741.92887102712,3957.05978057921,1313.97848171447,7886.53736680715
3658.42611148412,-238.801135076329,-5610.17575330618,-6872.91091739478
3688.10641751252,4391.93109207358,-7317.348762514,2037.81598971089
2353.4973195514,-4489.96890384017,-6806.57378946452,-4813.77477693696
3334.45967248904,3248.30307904412,-7512.50118946277,-2696.28567261369
-4345.31216355668,3593.09015417891,-8142.63108665773,-2428.45947542533
-3612.06678782834,3235.3709265686,-1141.91526016438,6916.56734281286
2402.36955025583,-2547.89767778017,-2494.17421373288,6855.22601353251
-3800,-4032,7059.07274504382,-1952.10864407834
1957.14690345319,2540.54871372754,2138.8128242078,7016.07445574116
-629.583520887214,3565.25385050464,6206.07816256298,-3501.35429681792
-4556.86787796548,-1078.64358386697,6242.90873648528,-3175.28510210409
-3849.28071070945,-3046.32838932609,2778.70637536049,-7192.34847347322
-3652.74170145427,-2599.67846452507,5876.21163726678,-6220.99804574491
3478.41611824689,149.488011223315,4488.76046300716,6054.57105238127
-3796.79915628572,-3079.80786350148,-7753.56664895407,360.738891565372
-2677.64329968271,-1107.23495148437,-6064.68641709986,-5507.74048213999
3690.26101917475,-2469.5577604406,-3524.27793864773,7134.78171315905
-4114.72559069832,1990.11359245764,4026.8122975313,-6764.6858059544
-1046.94994843148,-3661.89482632625,3938.08896319103,6843.12517479462
-370.341432048835,-3192.77203369141,-3775.18016113515,7151.36185792135
-4036.40827919128,-2742.95380178261,-6512.93966429218,5069.17173757375
-3355.26182267473,268.875545710191,6808.35308043816,2713.48130490534
4754.48730789249,-2365.99367508931,1879.00543360078,6822.87184104244
-282.818852888238,2722.69877878641,2346.67614460033,6566.07337883403
-588.680656598635,4664.24826869781,6781.67123126667,2839.67017576861
-3546.29947176847,141.672648551397,7426.77824408913,-1690.86906934339
-3432.22014654171,687.409881707812,6925.43145146955,1506.9495136894
861.88671875,-3222.93670744327,-6418.75837593728,4200.40664595103
-4319.4327168569,352.366269217973,-7153.08860560147,3379.02280889132
-3003.21373271182,3834.42066983552,-4379.24292566774,-6732.41900075128
-2525.54971461561,4002.44612037772,3136.5571448963,7834.11833474072
-2902.46162178913,-3465.21572583175,2269.14531097346,-7729.1232497073
-1203.93361411461,-3082.98824269353,-2295.57471322453,-7794.18551832046
-5134.98032298074,97.2460327148438,6694.01413870439,-4399.34360454212
3325.47597653983,-4288.23128052627,6960.92392741783,5429.15867752614
-863.497539813702,6048.97831653215,-7467.37471330286,-3005.75917844721
2494.87692169161,672.480773925781,-4491.29542116171,-6434.12742737715
-2872.67257490843,-5012.1776617772,-7984.00590722072,970.020562896724
-1715.08810755662,-2914.12336295514,4541.68197029916,6898.11875769777
-851.501256506911,-5385.80671497363,-7255.1879720698,-2032.52646692915
-3312.55624238593,-874.938781738281,-4983.38123830151,-5452.35105955406
2965,2697,6952.36359572729,1443.47223743665
-3918.98317898989,-743.535922532603,-6945.02893097922,2343.97062891951
2884.99361075309,-729.702825481398,-6560.97260542021,2682.40028952579
-1917.57181866797,607.770863000636,-7410.75319162506,2224.62577803677
5119.0629218226,1769.91653442383,-3105.47469199693,6700.13268522127
-3497.49549553326,3769.814049957,-3236.50938910196,-7038.37641040917
-4502,-3749,-6168.54356022569,5110.00707153758
5596.34392470539,-1214.66882549265,118.538100773683,-7461.67735749475
-1619.12615118655,4782.5350424464,7862,2525
4108.04450202619,2913.40099318454,4696.35942002482,-6925.48038192007
-3242.81512928664,3143.84400081471,-4249.35281950223,-6290.53123666253
4996.13260984937,-1003.71209416753,2055.17974845352,-7753.77377555053
-3697.15421790237,2198.95400454542,-4372.32868489923,-6634.44266496623
-4044,-2262,-6493.00637748498,4280.25466455038
-5241.74878673497,2043.59184735386,485.335600241101,-7522.50211406302
-3878.76185137554,1654.41984850594,5000.15552129173,6669.17589922865
1910.02888103547,1549.75454821617,6737.81283098806,6496.30966314524
3283.93394375637,1090.1907678719,7301.42461345048,1314.06084846048
1995.44839753045,-4422.39049646819,4556.28364869168,6553.28409759586
4498.43401943851,-3051.68813680135,381.206390380859,-7448.89973710396
-226.366443286835,-3497.90859913785,2923.98414973019,7123.07223233953
-3146.6598057195,776.711310069489,-5394.76171452893,4749.75458368695
1023.42156846796,-2845.49620746898,-2512.96407657611,6731.85937224994
-3897.86642092057,-2063.12083824732,-6948.70782912365,2259.94184165194
3989.49470780179,-3473.48107595823,2916.38206782526,6541.79716022885
4510.92042316591,-675.130443056629,7035.4929952784,-1620.65638466751
-2925.36298430447,1149.94655518014,-6041.2522664807,4120.60035880739
1920.25302278963,2249.81747419327,-3759.79217589339,-6391.90324847987
-4732.66365029934,194.485730943281,-6676.7356545787,4107.90932406145
-1852.80330882353,2503.84951357191,5092.85298371051,-6495.48689244211
1812.4008402533,4219.7682184142,-7065.97883286487,-2717.11411097002
3633.22908169238,-3107.11801197987,-2550.8708655716,-7301.12089696163
-2775.66516210265,2034.20619370077,-7482.6316950476,2552.11183176118
3299.26122995395,-3381.94919169484,-5859.16383884233,6406.39462629985
2930.20399243202,4201.51096500764,-7891.20048273532,453.934773577121
-1777.95923326062,-3495.32605600187,6494.83169548216,-4704.61287623147
4077.63953262326,-420.70703125,6282.65689644243,-4157.17465722328
1140.8772155812,-3077.27097914581,189.63671875,-7977.64053036165
-617.422745948648,1705.37756469142,-1980.11217323449,7042.52763382085
3032.19923364312,-3774.70852980685,-1172.31799607888,-7751.87374125623
-3037.71511839052,3446.83109184948,4028.83414247847,7139.01687299216
-3220.35605508176,-4858.39391643176,-8202.0285340222,221.158626068312
1413.01537363638,-3332.30683351414,1703.85867558261,7015.85946754869
3961.38390967754,3089.12386515923,2424.36231484995,-6833.08485385502
3020.59778245533,-2153.63768236621,6814.60932315713,1481.97512884772
-4077.1676581842,-144.272521972656,5903.71990482368,-2991.77542828127
2622.71524242045,-904.62897196851,-7836.3809824822,734.439592381707
4774.93132850217,1966.70556948883,-5790.11393954068,4377.0568940953
-4350.15539151306,-3565.71118786764,6702.05304025478,-3068.28683146129
-3243.43190077171,968.794884823848,7315,-2136
3661.61416349236,-128.268652049254,6082.06898267028,5328.25438135493
-1250.66416563926,-4223.33078073216,748.344827586207,-7343.73008525238
-3961.11174289438,2531.00397471004,-3869,-6534
-4916.47410645674,575.9293224618,-2955.89558678758,6983.65470160393
1364.18677439377,2311.57533894151,1602.004060804,7837.88292167629
-4374.54838886672,324.776143292683,-7750.70571905669,-154.564158989681
-3652.87210623538,2081.94296632916,5773.75568361972,5733.85361711653
-204.878486633301,-2641.71803988554,612.771929013269,-7440.83761021273
-3831.82685319265,164.21753692627,7332.99451995855,-2424.72710272038
5443.86792314891,-1058.1033920935,-3051.70305596646,7334.24797412155
3029,-1748,5317.46458862757,-6534.00478952216
-3615.43988517013,236.580204229812,6225.33869870748,-5222.55716872774
