complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
-5131.62230256141,-529.884068208268,-4637.17473791501,-7086.95835883796
-5740.30679136719,2134.33421491758,-6230.42023288212,-5593.03206503136
-4796.4685444199,4275.72891690383,5618.31231596363,5989.27752705063
-6817.54136927248,-1449.15830936805,-2561.50398589546,6858.95896969257
2939.16339093374,-6050.97123359747,-7062.77992109128,-2271.96562384855
3668.10957993916,-5891.4606552387,-6894.46988345648,-2461.21160769516
5871.4631686224,-6264.35852950809,-6898.26774646539,119.544561420854
3442.19751663934,4448.00370648417,3720.84664431615,6981.87478223691
-1095.65669581154,6558.77902341382,7763.29222819348,-2519.55970684085
6133,1349,-576.166951232513,-8010.64813265076
6596.95071386122,1505.82275390625,-2359.91632265534,7118.24065642967
6732.12606505918,2960.82048233126,-3210.98436298765,6660.95497167512
-5623.31835876252,267.211940086377,4606.68365484889,-6636.69562230054
-6529.38925698196,8.87632686563961,62.6832571102639,-7903.19887974848
-616.531069901522,6526.24616082623,-7181.08178647425,-1677.03178539528
7245.05623684971,896.953600593912,4845.28446134315,-6132.04687907915
-3758.87036224996,5841.1167376962,2865.67460757509,-6176.33380396373
-2057.98693377281,6033.06261520779,-6951.35010668074,-3008.28814590124
7626.33915098537,2880.32300765347,-992.437540902683,6931.90709451966
2317.76120439128,-6457.43136310163,-6951.9953849309,-2467.50133860652
6289.91540861565,-4986.39370457692,6491.12926493382,7205.34444069692
1721.4083404541,5791.03500826625,-4963.7653599555,-4491.27911600979
7449.77021535478,-192.776580810547,-3814.0733439769,6369.20404615051
-4953.67384981847,2096.89074157983,3270.0065659737,-6011.18938914658
-5785.27123470293,-3599.38979564854,-5354.44445372227,-1597.81417921113
1627.92560530229,-6291.54156901659,5652.05316938771,6707.1909210377
-4502.64419282568,-6056.60912039578,-1525,6944
-2027.46475751282,6469.08751084915,6847.01569799476,1217.57289123535
3072.20337809991,6431.14186357739,-7362.5106622434,4729.83285899193
-4828.14191714819,5509.9020959209,7546.19211351784,-3417.11161154654
6269.50142684173,2411.86008270805,-1776.62770798271,6969.14137711113
-6646.16051564457,1209.35875018801,-648.276510055346,6986.06716838698
5856.28933290878,-3482.52763773585,6648.7082400491,2162.70970214601
4450.95743869271,6994.47013010991,-7790.74738943139,4003.40061998399
726.258818227812,-6266.25465381561,6265.90453554542,3537.1858756489
3220.34290335698,-5993.55676671914,7311.2231754902,-1824.07235027886
6139.94862460127,-2218.89508870979,-4484.28271486496,-6547.42322326915
-1835.83863801572,6412.4136219769,6531.22258134204,2974.42021172108
855.244498971228,-6649.68042575996,8331.0694454571,-222.197113037109
-6422.34253019676,-2265.4459911495,-2900.51987883791,6765.39000114268
-7249.1789427286,-2084.9280066151,-2738.20334544146,7578.50822452076
1054.12396146729,4880.48363119443,-6295.05016912867,5478.26778077265
-2446.6730344159,6366.1823965805,-6680.27902692881,-2766.87914043069
4738.2564139933,-5744.87806798611,-6145.9987224319,-3402.43596076208
6956.46268476635,476.892522586443,-5554.18215862437,6791.69622981804
5815.14434138055,-1661.04876726406,6349.489834126,-5021.37387599244
-3874.81850620273,-6334.66998707343,-6460.74460620489,1438.55024767037
-3012.71229801185,-5411.34998390285,4213.56199682584,6131.87204286566
6732.43896405013,757.118325334215,1974.57215830767,-7052.88203677144
-5802.05834988525,2640.14486467766,2362.0831021497,6981.07173616566
-6385.86366060129,4045.67300989162,-7474.133087032,2762.24145550927
3168.32113579071,4554.06672493929,1364.69990377111,7481.68239911787
