complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
3220.4045366734,780.389793702497,7057.83769467218,-2742.52364405807
7117.45055664763,660.126421902814,2587.59011576777,-2270.89576005392
1106.04935684682,2943.31353427008,3230.9092441709,-6158.29042542723
2849.23157652385,885.817209502189,7169.56602696196,-1921.81043003917
-3857.08260825267,978.640231268018,6890.17961369677,2404.66661019774
103.737670898438,-2881.20938512167,-1333.23303885735,7113.44267051121
2590.38937478351,1639.9602407651,4946.78860079858,-4783.74175980839
2800.36118179448,-1867.90034523923,3822.94275358578,6602.50229445586
-6683.5113062224,-6556.28346127744,2345.66710532257,-2934.21250153644
3019.57631103464,-766.534562267772,6707.8353260988,2523.2845141362
-5214.40672081305,-6106.71977034501,-1604.61788825913,2683.38738775519
-438.332009361116,-2833.0451844461,-2005.39279355191,6816.20601478288
4002.82241480581,-6479.34430719373,-2418.14122242885,1626.74201430988
6490.93889633511,6512.62942130597,1087.72423112788,-3769.37286356583
4511.39537983557,6163.92261496467,3058.71045372304,-1867.46648185484
2231.71952196419,827.507958917095,-6788.6132005458,-830.03007748306
-7587.15569079659,2719.87285017931,-1209.81179157391,-3002.91138997042
3184.90473325603,-966.400628100713,5938.71099526486,4536.57049572986
2635.79387479665,1288.11179869472,6532.89262249104,-2807.89282068731
-1336.78673298592,2659.26052430901,-5717.19823106901,-1833.70266725752
1318.3428261771,-2027.70489614274,2751.83348040273,7193.11673903118
4327.60040190793,6665.11843678846,672.750122070312,-2924.80686457609
-1277.93867591993,1988.29722916872,-5444.70145380135,-3598.96405782952
4288.86534689626,5912.78470534616,2850.5197206264,-1358.98018681332
2977.50621480285,-1641.73038297177,-2673.47393748046,-7005.0641003383
6450.21381256529,3133.55838657896,-198.028304226951,-3410.63035783617
1915.71997908225,1408.89251280185,-3382.17734957112,-5237.03055638406
-1311.69108962961,-3232.86138842443,6631.19681058436,-3655.28394117885
3526.85162099136,-89.2839961372576,-4183.23648516427,-6926.58126998498
-260.466790583596,-4406.65552936342,5941.38950632546,-4404.58002571801
1965.02039789929,3317.12913911654,6336.73998692966,-3270.83631663392
2162.43756815402,-1933.64327386182,-4292.45328093548,-6102.75233018259
3916.5988671822,6655.03152401334,1950.52116813825,-2812.50083373668
-930.807175023722,-1528.49037290581,-4023.34185509764,-5672.14787164751
-7004.38263358269,-1911.83284669208,2260.35427116017,-970.688332950368
2632.11217991542,3104.96443041517,4417.78680011887,-4811.98912841191
6328.20197796697,-3963.83073833071,-2538.14075636326,-813.99552038518
-2581.52008687045,41.5614974793767,6962.29056338766,1646.95456364301
2977.77014410158,-7232.82933429709,1712.6537695258,2689.19564305108
