frame,delta_phi_rad
1,-0.136951098816269
2,-0.384543189960382
3,-0.443441199239603
4,-0.514556846371912
5,-0.378788033414548
6,-0.360671057613497
7,-0.522349855578549
8,-0.185195143002129
9,-0.54672967997555
10,-0.571579256327226
11,-0.396059851788533
12,-0.476264720013606
13,-0.316760526442619
14,-0.515870407595864
15,-0.362744745729764
16,-0.344463972298787
17,-0.295561907423785
18,-0.309219464242978
19,-0.484716265308584
20,-0.54108798034302
21,-0.411656729842819
22,-0.25016709562794
23,-0.459129325420736
24,-0.5352711742856
25,-0.36327590147619
26,-0.248462419872099
27,-0.6026593350343
28,-0.446724339391492
29,-0.313522502361639
30,-0.423523341419107
31,-0.371243586729301
32,-0.456581149920299
33,-0.49488311785209
34,-0.27155337342509
35,-0.329708921609017
36,-0.328616075494108
37,-0.296280889312856
38,-0.304716284598733
39,-0.569852648686952
40,-0.428556493954295
41,-0.24674076481497
42,-0.44445904266318
43,-0.539195463532102
44,-0.544040559613677
45,-0.161274274994788
46,-0.484760526503099
47,-0.352189355520749
48,-0.482133943387321
49,-0.360540189274333
50,-0.687324352305044
51,-0.672078185118369
52,-0.3650590969239
53,-0.353003111965683
54,-0.651664258423024
55,-0.428744267777184
56,-0.52848161614573
57,-0.57987802676665
58,-0.492391511275634
59,-0.425806020240914
60,-0.422007207727465
61,-0.46138613810416
62,-0.287076326806545
63,-0.34357901199026
64,-0.39833644390505
65,-0.336341276988676
66,-0.4409530335619
67,-0.452098783521779
68,-0.269800424298201
69,-0.474588426073292
70,-0.419616095561553
71,-0.21684773692916
72,-0.374145592504241
73,-0.430349852183342
74,-0.438172117062176
75,-0.390642948386535
76,-0.57688562980656
77,-0.24493994408147
78,-0.633679130242062
79,-0.387147329606079
80,-0.294442610931137
81,-0.377719917347072
82,-0.369223834092941
83,-0.28004574476773
84,-0.514772206686027
85,-0.472823550219507
86,-0.674348540227713
87,-0.299127743116186
88,-0.431354147830649
89,-0.511873463794455
90,-0.209381401957416
91,-0.511074283500487
92,-0.40067992049438
93,-0.530562983004595
94,-0.40617914919146
95,-0.504422481535402
96,-0.381283033636396
97,-0.372753312929564
98,-0.517252010088649
99,-0.618946667635358
100,-0.345816352662647
101,-0.462367527101774
102,-0.36496429778258
103,-0.190680885493434
104,-0.231840345843052
105,-0.331774661366395
106,-0.402874678342288
107,-0.542177683607816
108,-0.598641582628191
109,-0.625749488281585
110,-0.332314439407985
111,-0.455144345969145
112,-0.374660040708956
113,-0.572511661102854
114,-0.486561852992536
115,-0.241243923071824
116,-0.488872319396494
117,-0.672422979268353
118,-0.543278350112509
119,-0.388358927026323
120,-0.465236074067534
121,-0.489839676160246
122,-0.447304780069992
123,-0.435082864658933
124,-0.36582320377677
125,-0.52599786951747
126,-0.505694003292823
127,-0.47797763697041
128,-0.430002681511597
129,-0.376641201992141
130,-0.482781549944905
131,-0.115757474210945
132,-0.120317756589565
133,-0.33484919048222
134,-0.44608607812392
135,-0.395167856509257
136,-0.281196048640217
137,-0.485862702020032
138,-0.33418637903855
139,-0.576941984927479
140,-0.385744623267334
141,-0.456220712748997
142,-0.425448834936162
143,-0.478265699707613
144,-0.449129968858239
145,-0.441998507785778
146,-0.358083721847209
147,-0.49233893374682
148,-0.394756066920246
149,-0.538639593864869
150,-0.398002209592556
151,-0.489107426480785
152,-0.425162033042277
153,-0.360958664062617
154,-0.353995322256742
155,-0.613514660030628
156,-0.405126726949896
157,-0.53508780870874
158,-0.522493194732176
159,-0.435045383509035
160,-0.504535536533023
161,-0.382757414348606
162,-0.721415998727616
163,-0.4533350004355
164,-0.476506755623566
165,-0.434966278555956
166,-0.500882051253305
167,-0.387292595616642
168,-0.440589307243965
169,-0.592161506493442
170,-0.3706902519686
171,-0.558240018720547
172,-0.49188842883338
173,-0.40827483959321
174,-0.474940790073166
175,-0.555523908094463
176,-0.610851429740711
177,-0.337835968498833
178,-0.52951610428883
179,-0.41608264974741
180,-0.244713040736887
181,-0.465267798268137
182,-0.38592919017041
183,-0.277839895837688
184,-0.20434329123026
185,-0.477427468321538
186,-0.180341410951994
187,-0.293464860493144
188,-0.367267142912134
189,-0.622448538280816
190,-0.336938308981182
191,-0.476578954938515
192,-0.131847248744829
193,-0.428042766175396
194,-0.342412738791343
195,-0.447451559829214
196,-0.579890243306855
197,-0.411719497776206
198,-0.62038130945764
199,-0.503118552867476
200,-0.187608761464836
201,-0.380710605336819
202,-0.659953576639133
203,-0.306746388535704
204,-0.215179191533287
205,-0.49847636406545
206,-0.316787359539605
207,-0.34792466244307
208,-0.375303439499838
209,-0.24386814966777
210,-0.589552913399342
211,-0.338827218362218
212,-0.569726054514551
213,-0.45896985113639
214,-0.432679234025828
215,-0.419726535694226
216,-0.432548803716394
217,-0.523100554297428
218,-0.568317601956549
219,-0.567338979787436
220,-0.442960077031116
221,-0.49634298330916
222,-0.546061863611621
223,-0.466948749850805
224,-0.484306295998449
225,-0.435655228615361
226,-0.195965808238167
227,-0.571772628203445
228,-0.451347227481557
229,-0.712910806796113
230,-0.582754975441158
231,-0.339353666412781
232,-0.51477588204236
233,-0.546715737815369
234,-0.416475223562149
235,-0.716254797070546
236,-0.402283141819351
237,-0.365387070260933
238,-0.520315235267894
239,-0.323944470002302
240,-0.465463501583334
241,-0.369318748035764
242,-0.565135885820236
243,-0.655847688370109
244,-0.640211036370017
