frame,delta_phi_rad
1,-0.447014435262099
2,-0.390066935485022
3,-0.400576448945056
4,-0.304873176508154
5,-0.188499033929789
6,-0.407724247101351
7,-0.347520247169316
8,-0.33951160033482
9,-0.228813492064211
10,-0.452820978709505
11,-0.186449095761501
12,-0.46363899775998
13,-0.564537752115553
14,-0.475654718704714
15,-0.607472433873342
16,-0.271250991867015
17,-0.605908515333214
18,-0.208342700273129
19,-0.544239026747692
20,-0.341524789025285
21,-0.24731092945712
22,-0.317637345191538
23,-0.342771775180286
24,-0.443453350084539
25,-0.278929224930944
26,-0.50718466789122
27,-0.209741413993745
28,-0.52293370230342
29,-0.50053281835307
30,-0.657075283297073
31,NaN
32,-0.222096832215109
33,-0.490167845123327
34,-0.223212345350712
35,-0.324883013254666
36,-0.472338822949798
37,-0.45157325650356
38,-0.272813265291413
39,-0.26838435353653
40,-0.129052798289384
41,-0.439766986803959
42,-0.354358282459072
43,-0.392219824471756
44,-0.39842424975136
45,-0.425264946252051
46,-0.395294169560384
47,-0.377101494231293
48,-0.52581295837433
49,-0.446847670832279
50,-0.256620392829481
51,-0.39620269302896
52,-0.45568111887257
53,-0.47079111931911
54,-0.535187958505033
55,-0.43573063121103
56,-0.435253942085534
57,-0.445798820202198
58,-0.372276115009927
59,-0.190299665797178
60,-0.306201425406523
61,-0.504549148782085
62,-0.452061488029428
63,-0.388962825538242
64,-0.336575871900538
65,-0.390463403852099
66,-0.379226287250312
67,-0.533744537138299
68,-0.355617399807065
69,-0.565617936479489
70,-0.229006487889261
71,-0.401236104495296
72,-0.396354184321564
73,-0.575749807510169
74,-0.431766864453291
75,-0.37258585193774
76,-0.457156890228644
77,-0.58931392987022
78,-0.416311357474635
79,-0.296006939288943
80,-0.226284238117286
81,-0.308168275053191
82,-0.29169413060802
83,-0.439010671559246
84,-0.637841262737829
85,-0.238496329448568
86,-0.401336714901668
87,-0.0896003863738981
88,-0.452317866876179
89,-0.367099635546323
90,-0.48239954509497
91,-0.472917104466076
92,-0.315274599017372
93,-0.411625746322619
94,-0.405074301187613
95,-0.50027158548759
96,-0.474368045889822
97,-0.35651013951158
98,-0.528083402790708
99,-0.46941693555879
100,-0.280042420733669
101,-0.465986685927558
102,-0.41597652296772
103,-0.544178591890694
104,-0.397485778579844
105,-0.468878286063921
106,-0.403144959795815
107,-0.418104926611587
108,-0.361158254725092
109,-0.536994313381201
110,-0.340221302652019
111,-0.51507647126408
112,-0.560961365759935
113,-0.346677032527928
114,-0.461212912107474
115,-0.359810376411164
116,-0.50458699383801
117,-0.4957221056297
118,-0.330465969569937
119,-0.475958878544036
120,-0.338990046442222
121,-0.48149493972601
122,-0.45209180443339
123,-0.492796651119148
124,-0.125291938627003
125,-0.457827066101153
126,-0.457147136183167
127,-0.236100424409996
128,-0.4529767472325
129,-0.511341302899239
130,-0.510813238711297
131,-0.646153992164404
132,-0.370965756621243
133,-0.457970755293921
134,-0.477514182448655
135,-0.273264993427415
136,-0.361662878345596
137,-0.612159803386418
138,-0.282164211780903
139,-0.369315108686497
140,-0.435671369356271
141,-0.406928385933682
142,-0.310808516282878
143,-0.467188732734015
144,-0.288011467746027
145,-0.422034212661558
146,-0.103168722122883
147,-0.436647540339256
148,-0.47227563273889
149,-0.634545665159741
150,-0.322632022509761
151,-0.39481166167073
152,-0.351255623166075
153,-0.42641946553919
154,-0.424281046430987
155,-0.374469559503206
156,-0.348078543503291
157,-0.344199368039336
158,-0.58335926747354
159,-0.443248370147245
160,-0.203284304276686
161,-0.479009362746495
162,-0.162736243633736
163,-0.383919127817
164,-0.318549598133431
165,-0.21070525445264
166,-0.686901401414447
167,-0.387216465242312
168,-0.544019000756506
169,-0.162560082695953
170,-0.42027590891253
171,-0.381717704896042
172,-0.350403363608443
173,-0.208545628712281
174,-0.112836764241082
175,-0.347179554974251
176,-0.446749365558626
177,-0.474558715479466
178,-0.606884971318963
179,-0.523386222637614
180,-0.503774296427507
181,-0.319014822458525
182,-0.383780977572201
183,-0.383944165774582
184,-0.345590660521565
185,-0.35441187832485
186,-0.55826832161707
187,-0.247544198972747
188,-0.59957214430746
189,-0.454793693316376
190,-0.335094934543726
191,-0.216639867127474
192,-0.416591471416674
193,-0.282686064412981
194,-0.427306726518011
195,-0.19203130497125
196,-0.496530033792346
197,-0.458209040625912
198,-0.275347335089418
199,-0.624900958482346
200,-0.253459268626458
201,-0.446862346586928
202,-0.29488850917158
203,-0.430957602186674
204,-0.231779034656538
205,-0.430795763457093
206,-0.286443248105551
207,-0.553948195021284
208,-0.566624290529248
209,-0.583928995796121
210,-0.21405609955889
211,-0.463937110119043
212,-0.220273392546385
213,-0.267593001861304
214,-0.350932541146204
215,-0.390353463241573
216,-0.553548521972829
217,-0.469118667428602
218,-0.337898961183834
219,-0.234126164967372
220,-0.488983084447346
221,-0.569797849483276
222,-0.458768031329982
223,-0.634244856242598
224,-0.472217351372536
225,-0.252709073547761
226,-0.42644299717596
227,-0.44959439822606
228,-0.409795105106478
229,-0.484726212947738
230,-0.450798457496653
231,-0.254813893712818
