Frame,Range_m,Angle_deg,Amplitude_normalized
14,3.1828125,-75.63848843708344,0.3620032210511092
14,3.1828125,-69.6358651936822,0.38315431903039093
14,3.1828125,-64.99216676531486,0.4054297197747724
14,3.1828125,-61.04497562814016,0.4262420098140891
14,3.1828125,-57.53825503275763,0.4434566807277353
14,3.1828125,-54.34091230386124,0.45543537479522744
14,3.1828125,-51.37516712694704,0.4610325395609759
14,3.1828125,-48.59037789072913,0.45959318252971293
14,3.1828125,-45.95137432591568,0.45097409026745644
14,3.1828125,-43.432536557789774,0.4356032645700766
14,3.1828125,-41.01449966573052,0.4145944841858456
14,3.1828125,-38.68218745348944,0.3899362099051043
14,3.1828125,-36.42357364233116,0.36475331020955526
14,3.1828125,-34.22886632781258,0.343532937236345
14,3.1828125,-32.0899512562803,0.3319217268008112
14,3.1828125,-29.999999999999996,0.3354332367748519
14,3.1828125,-27.953186883381136,0.3571433079480486
14,3.1828125,-25.94447977237001,0.3962837826846803
14,3.1828125,-23.969482317759685,0.4492191263396746
14,3.1828125,-22.02431283704216,0.5114249080492386
14,3.1828125,-20.10550978791601,0.5787180560783939
14,3.1828125,-18.20995686428301,0.6475964866686926
14,3.1828125,-16.334822780685997,0.7151864092022778
14,3.1828125,-14.477512185929925,0.7791135875186664
14,3.1828125,-12.63562509302112,0.8374005024743395
14,3.1828125,-10.80692287486034,0.8884025674728555
14,3.1828125,-8.989299345162808,0.9307739297383971
14,3.1828125,-7.180755781458282,0.9634518093201307
14,3.1828125,-5.379378991112073,0.9856511822280354
14,3.1828125,-3.583321698471973,0.9968644571471096
14,3.1828125,-1.7907846593289494,0.996862874115107
14,3.1828125,0.0,0.9856977942106887
14,3.1828125,1.7907846593289494,0.963701095979058
14,3.1828125,3.583321698471973,0.9314847524538574
14,3.1828125,5.379378991112073,0.8899404914241292
14,3.1828125,7.180755781458282,0.8402413681724885
14,3.1828125,8.989299345162808,0.7838481865867241
14,3.1828125,10.80692287486034,0.7225249227558366
14,3.1828125,12.63562509302112,0.6583680377057987
14,3.1828125,14.477512185929925,0.5938525810693468
14,3.1828125,16.334822780685997,0.5318867143514897
14,3.1828125,18.20995686428301,0.4758304221335662
14,3.1828125,20.10550978791601,0.42935275580694815
14,3.1828125,22.02431283704216,0.39589994946330725
14,3.1828125,23.969482317759685,0.37763347777182055
14,3.1828125,25.94447977237001,0.3742804627656688
14,3.1828125,27.953186883381136,0.3829303325501731
14,3.1828125,29.999999999999996,0.3991328627489371
14,3.1828125,32.0899512562803,0.4183501744516161
14,3.1828125,34.22886632781258,0.43683227061864716
14,3.1828125,36.42357364233116,0.45185084474429904
14,3.1828125,38.68218745348944,0.46161791670870694
14,3.1828125,41.01449966573052,0.4651321850720253
14,3.1828125,43.432536557789774,0.46204923022829164
14,3.1828125,45.95137432591568,0.4525961442656283
14,3.1828125,48.59037789072913,0.4375266638636627
14,3.1828125,51.37516712694704,0.41810720727814416
14,3.1828125,54.34091230386124,0.39611921020585567
14,3.1828125,57.53825503275763,0.37384737768423765
14,3.1828125,61.04497562814016,0.35398861373771323
14,3.1828125,64.99216676531486,0.339373056455571
14,3.1828125,69.6358651936822,0.33240766480463835
14,3.1828125,75.63848843708344,0.3343517357812542
