Frame,Range_m,Angle_deg,Amplitude_normalized
14,3.1828125,-75.63848843708344,0.3246783629067727
14,3.1828125,-69.6358651936822,0.26676277765147816
14,3.1828125,-64.99216676531486,0.20424480752965776
14,3.1828125,-61.04497562814016,0.17193632620527882
14,3.1828125,-57.53825503275763,0.19078108164870006
14,3.1828125,-54.34091230386124,0.2311856034867703
14,3.1828125,-51.37516712694704,0.26002739027878075
14,3.1828125,-48.59037789072913,0.2643779497805974
14,3.1828125,-45.95137432591568,0.24748442227311923
14,3.1828125,-43.432536557789774,0.22899284823698174
14,3.1828125,-41.01449966573052,0.24004985265098341
14,3.1828125,-38.68218745348944,0.2915268039854968
14,3.1828125,-36.42357364233116,0.3600688033575877
14,3.1828125,-34.22886632781258,0.41642610710633093
14,3.1828125,-32.0899512562803,0.4388725505650879
14,3.1828125,-29.999999999999996,0.41364098460477955
14,3.1828125,-27.953186883381136,0.3349165893064261
14,3.1828125,-25.94447977237001,0.2069195074171275
14,3.1828125,-23.969482317759685,0.08225234442179735
14,3.1828125,-22.02431283704216,0.21675530234511858
14,3.1828125,-20.10550978791601,0.4314037544813174
14,3.1828125,-18.20995686428301,0.6407253812253068
14,3.1828125,-16.334822780685997,0.8179895167404815
14,3.1828125,-14.477512185929925,0.9419551580943012
14,3.1828125,-12.63562509302112,0.9965542983009033
14,3.1828125,-10.80692287486034,0.9724389422100622
14,3.1828125,-8.989299345162808,0.8682070900187606
14,3.1828125,-7.180755781458282,0.6910740518741209
14,3.1828125,-5.379378991112073,0.45776465683168577
14,3.1828125,-3.583321698471973,0.27096293388071574
14,3.1828125,-1.7907846593289494,0.23747227324795517
14,3.1828125,0.0,0.43887428514367655
14,3.1828125,1.7907846593289494,0.677218478941727
14,3.1828125,3.583321698471973,0.8607457810305447
14,3.1828125,5.379378991112073,0.970483799226217
14,3.1828125,7.180755781458282,0.9971246681857666
14,3.1828125,8.989299345162808,0.9402890722849923
14,3.1828125,10.80692287486034,0.8082064766907526
14,3.1828125,12.63562509302112,0.6169075866752528
14,3.1828125,14.477512185929925,0.3895970653821223
14,3.1828125,16.334822780685997,0.16525890531452253
14,3.1828125,18.20995686428301,0.1517097351255641
14,3.1828125,20.10550978791601,0.33040186447395037
14,3.1828125,22.02431283704216,0.47647506490078445
14,3.1828125,23.969482317759685,0.5613654255082773
14,3.1828125,25.94447977237001,0.5778128763404918
14,3.1828125,27.953186883381136,0.5279193692001591
14,3.1828125,29.999999999999996,0.4214291890987938
14,3.1828125,32.0899512562803,0.2744364819416396
14,3.1828125,34.22886632781258,0.11053148211446175
14,3.1828125,36.42357364233116,0.08554587371194841
14,3.1828125,38.68218745348944,0.22859055275127693
14,3.1828125,41.01449966573052,0.3433078052834233
14,3.1828125,43.432536557789774,0.41144435287003556
14,3.1828125,45.95137432591568,0.42682261282912004
14,3.1828125,48.59037789072913,0.39065207032605365
14,3.1828125,51.37516712694704,0.311192044833836
14,3.1828125,54.34091230386124,0.20463572626510287
14,3.1828125,57.53825503275763,0.10922318813051525
14,3.1828125,61.04497562814016,0.13186924999136138
14,3.1828125,64.99216676531486,0.22628707648074733
14,3.1828125,69.6358651936822,0.30628100234156613
14,3.1828125,75.63848843708344,0.3514767182965986
