frame,aoa,times,estimated_aoa,range,energy
1,20,1,26.3127240902379,4.64880893922099,106.650133988562
2,20,1,21.8142758109901,4.53092434608194,104.568016369959
3,20,1,21.8492506107976,4.52313580008824,119.727571989756
4,20,1,21.3464642880531,4.53726818844048,116.420301775417
5,20,1,21.0149659327317,4.59732950624162,114.78122273683
6,20,1,22.9774623021202,4.41291644042893,114.858569147052
7,20,1,24.0597667093875,4.36951319397898,122.223052715857
8,20,1,24.184253239499,4.38579787315862,116.308938192672
9,20,1,23.7694694566797,4.35683001670425,109.137070318143
10,20,1,25.8598076392554,4.34941761823124,128.220221011103
11,20,1,26.5585235918251,4.33603393783023,133.919106893918
12,20,1,26.6396200634764,4.31886006524198,137.573647747264
13,20,1,27.7503985696073,4.29974507546021,110.864781182706
14,20,1,27.0531486794791,4.22621240593921,88.730169457852
15,20,1,25.3030164725837,4.19227877812885,113.399560631656
16,20,1,24.8772080750736,4.13296754268186,109.931169449536
17,20,1,25.8083147568945,4.11164175751616,104.961288234057
18,20,1,24.2949585062308,3.99481193222178,123.108593079423
19,20,1,24.5444400079923,3.99250039470596,136.426936845198
20,20,1,24.5790431996908,4.01917716659546,136.646543952992
21,20,1,24.0518354321928,4.05234236452068,128.659289845771
22,20,1,25.1114975057759,3.94071686127688,129.609210349299
23,20,1,25.7459001693633,3.94130431045931,157.651525813561
24,20,1,26.1121867824736,3.9373476142753,156.621320626256
25,20,1,26.0687840149159,3.93422334420325,161.769594324538
26,20,1,25.9469066591637,3.9606740696866,140.635919369225
27,20,1,24.8933370892587,3.86630076924978,131.749356647638
28,20,1,24.9589419102831,3.83777231376842,143.851095709764
29,20,1,24.3043382315191,3.8610050314777,134.236572263666
30,20,1,24.1436933427729,3.94956805773375,143.468675471708
31,20,1,23.2299346580341,3.94932854158087,129.630915421209
32,20,1,22.4687597949882,3.76936912380122,129.387102589222
33,20,1,22.1751234052905,3.70665252098267,116.02237931635
34,20,1,23.514710608042,3.69537418189742,118.587793901325
35,20,1,21.6190893161685,3.49178242367786,156.604327100444
36,20,1,22.7429487319719,3.49935321540108,188.380148933419
37,20,1,22.5806204564349,3.4976773395774,196.247540164053
38,20,1,22.7316529439318,3.51049231780389,199.798032287825
39,20,1,23.2927658029112,3.53501175563253,181.068513609813
40,20,1,22.8840663366632,3.34547631745318,148.838275888089
41,20,1,23.5795294315233,3.34858463710282,220.508705306447
42,20,1,23.1793238157536,3.33437155468311,268.970932462174
43,20,1,22.7168135681185,3.310495358555,282.174691949965
44,20,1,22.8881183439172,3.28354807232021,294.304885303154
45,20,1,24.2368466163325,3.26941809303817,283.007980046593
46,20,1,25.1315378534485,3.27525287105301,246.915747362736
47,20,1,23.9922190955764,3.22532994729603,239.103982905758
48,20,1,24.5318231164811,3.17390018490515,302.134491910862
49,20,1,25.5407190274428,3.16839408644663,350.028680625683
50,20,1,26.3852444055932,3.13934700399857,317.520571532085
51,20,1,26.9677404424401,3.1011813752408,278.1647690144
52,20,1,27.4805526150494,3.06233193738624,259.911119373948
53,20,1,26.192633279217,3.08152454745323,255.648307201063
54,20,1,30.0017384581561,2.96431937847793,243.963210030466
55,20,1,28.4724145452995,2.95648099211234,285.79305246612
56,20,1,28.1985059855399,2.95314998117818,290.981389962104
57,20,1,28.5181572638161,2.92441632354323,236.886723125959
58,20,1,26.7365079584259,2.96717599724907,225.051111700209
59,20,1,25.8160303875035,2.87577870688085,267.099613044962
60,20,1,24.7400660561608,2.84372461317984,295.068971524613
61,20,1,24.6679466160959,2.82530687437498,302.992173983832
62,20,1,24.4664667394307,2.81551388390345,276.0934616351
63,20,1,22.348001662822,2.8123815862398,305.021281030578
64,20,1,23.9632910437983,2.81034509297925,320.138360405922
65,20,1,21.712297086628,2.7899418355435,269.531345385352
66,20,1,21.8464558614175,2.77809450126587,333.762752454456
67,20,1,21.8977452915984,2.76726961727833,343.716362578814
68,20,1,23.2687662239111,2.78459517246039,300.042001521304
69,20,1,23.8110479022494,2.78522523225681,298.040273234821
70,20,1,25.2839230656644,2.67138327361021,291.170628957736
71,20,1,26.0838765201648,2.64825299319876,361.768103850732
72,20,1,25.7589449525201,2.62873379327725,388.083017363857
73,20,1,26.2503745698038,2.59735828102724,373.976228763149
74,20,1,27.3808257426857,2.55093894994018,329.335505765466
75,20,1,27.7049155078678,2.53683615466257,291.412812108824
76,20,1,25.0869177166361,2.54118476620337,307.244463832213
77,20,1,25.4575319813946,2.5425301044795,334.317820837049
78,20,1,27.0427186138234,2.45455704639173,283.427314025266
79,20,1,25.2701201311318,2.39704349389041,378.886272455821
80,20,1,25.080186311008,2.39447443677023,428.510126941509
81,20,1,24.4114644537894,2.38745140358832,429.292829255461
82,20,1,23.2551740254924,2.36936685503757,460.361234720621
83,20,1,22.6656728615711,2.36525033812316,529.767559652382
84,20,1,22.3949724980721,2.36612571117707,579.205051773772
85,20,1,21.7576638173015,2.37181071046073,530.573057241612
86,20,1,22.32761919691,2.30902405107072,434.353241474223
87,20,1,23.2990898434581,2.31152597506002,612.406375911672
88,20,1,23.9589419710028,2.29588097454911,699.038393352293
89,20,1,25.2447679437571,2.27498949663647,678.922019783879
90,20,1,26.0021433294394,2.25117614988962,615.287399276397
91,20,1,26.7910029381608,2.22478438181641,524.206860232693
92,20,1,29.0088278444508,2.20635600531958,421.353109929161
93,20,1,21.7221218651609,2.22740408145553,476.26812113233
94,20,1,22.4262086206479,2.22196609032702,564.114063919697
95,20,1,22.0239636814236,2.21898203274365,522.124779867633
96,20,1,19.4602082972448,2.23204523479411,391.714743536561
97,20,1,22.5534121524056,2.17488928789878,371.890944686338
98,20,1,23.0135396612795,2.21148918241904,453.684064441753
99,20,1,22.5477289968263,2.23644227726272,494.180879442071
100,20,1,23.2864418979561,2.24247349456308,480.044883281951
101,20,1,27.4447999097619,2.24188730521506,397.93907903631
102,20,1,32.6364813129681,2.27769987501849,299.971582495747
1,20,2,23.3426379251948,4.65187217916863,86.0286633056015
2,20,2,23.7559067698268,4.64064268302274,92.4535206693475
3,20,2,22.0522058049078,4.6129152418266,101.498226470567
4,20,2,22.3215343198353,4.56548635192548,99.7583527471398
5,20,2,21.5512863860846,4.50537930403105,77.1780257698839
6,20,2,21.0012276924402,4.46755904575072,81.0513739685313
7,20,2,22.4517318459711,4.57039784514892,95.9965601227008
8,20,2,21.610427066263,4.3479514971982,104.98546636773
9,20,2,22.4452803197266,4.46678491499276,92.3687563975434
10,20,2,23.800552108826,4.61546805307533,96.1299272539646
11,20,2,22.5092509355617,4.42673316309306,86.039014670062
12,20,2,23.4976628798679,4.25887798321226,114.791441877488
13,20,2,23.8751962184157,4.25130384932535,126.183889366936
14,20,2,24.6552685273751,4.25454132945769,140.610530200193
15,20,2,24.27029932382,4.2498237990521,142.491296405261
16,20,2,25.6254409106331,4.24861847134979,113.592876031309
17,20,2,25.1239951938104,4.1445580490118,106.571494343963
18,20,2,24.6571561878452,4.11187274015634,126.949516900266
19,20,2,25.9639343947063,4.0445644691954,140.15954735852
20,20,2,24.1010032839358,4.0727126309538,138.516803494145
21,20,2,21.0901533018015,4.07071551033717,140.264896700011
22,20,2,23.5890409076899,3.99838576930918,157.648045306947
23,20,2,23.7124072285024,3.96787490933207,178.159043222882
24,20,2,23.9221430662021,3.97268038845319,209.254470150538
25,20,2,24.1781337714405,3.95886721109529,169.936723228994
26,20,2,23.2905367392106,3.9660968537838,140.879671467641
27,20,2,25.5518491177253,3.91809430352503,153.440458161186
28,20,2,24.1732823310072,3.94337394335046,157.895747531199
29,20,2,22.8959030371283,3.9629299582653,169.854166894044
30,20,2,21.2806227904517,3.98723374853232,147.28962105739
31,20,2,26.0013145304329,3.75001177249951,126.164414683339
32,20,2,25.735806368139,3.67428296004393,126.274505939162
33,20,2,22.0882630518226,3.77828839596038,108.40694142845
34,20,2,23.4985908554291,3.59155459093274,126.681858516352
35,20,2,22.9408633846129,3.58983629331451,111.174760936528
36,20,2,21.3479292557412,3.8617668023443,96.3511671953139
37,20,2,21.5358027180251,3.67926775656799,94.1084305298889
38,20,2,20.2289551268081,3.47535027718126,109.371126198737
39,20,2,22.2184461995206,3.4770675964439,141.626863957482
40,20,2,22.8721787983014,3.47030104547185,155.139132578819
41,20,2,23.7363758681095,3.48193311339444,180.47571256375
42,20,2,23.9839102569541,3.48793814292146,161.099047566563
43,20,2,24.2916236315444,3.47587132705442,150.587125916694
44,20,2,24.3504274906803,3.33693847352058,190.86088283952
45,20,2,23.4393948245769,3.32435111551937,216.236990708439
46,20,2,22.9619945000743,3.32067744155615,226.0086906562
47,20,2,23.2004454402214,3.2999585574645,217.643159906796
48,20,2,24.094591195651,3.24842684237746,198.744663271244
49,20,2,20.9800099428449,3.28175076192884,212.902944631093
50,20,2,21.7758202444299,3.27423505234584,203.665994388026
51,20,2,24.2804476515087,3.12224284394353,290.94341969447
52,20,2,24.1653747214461,3.10961343772949,362.725196749712
