angle,distance,type
-40.0,1.0,1
-40.0,2.0,1
-40.0,3.0,1
-40.0,4.0,1
-30.0,1.0,1
-30.0,2.0,1
-30.0,3.0,1
-30.0,4.0,1
-20.0,1.0,1
-20.0,2.0,1
-20.0,3.0,1
-20.0,4.0,1
-10.0,1.0,1
-10.0,2.0,1
-10.0,3.0,1
-10.0,4.0,1
0.0,1.0,1
0.0,2.0,1
0.0,3.0,1
0.0,4.0,1
10.0,1.0,1
10.0,2.0,1
10.0,3.0,1
10.0,4.0,1
20.0,1.0,1
20.0,2.0,1
20.0,3.0,1
20.0,4.0,1
30.0,1.0,1
30.0,2.0,1
30.0,3.0,1
30.0,4.0,1
40.0,1.0,1
40.0,2.0,1
40.0,3.0,1
40.0,4.0,1
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-40.13053929835095,1.0007957076728955,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-39.83843997699909,1.0020219899556049,0
-38.68218745348944,2.0021588087695332,0
-38.68218745348944,2.0021588087695332,0
-38.68218745348944,2.0021588087695332,0
-38.68218745348944,2.0021588087695332,0
-38.68218745348944,2.0021588087695332,0
-38.68218745348944,1.9925867738334158,0
-38.68218745348944,1.9925867738334158,0
-38.68218745348944,1.9925867738334158,0
-38.68218745348944,1.9925867738334158,0
-38.68218745348944,1.9925867738334158,0
-38.68218745348943,2.0117326584791906,0
-38.68218745348943,2.0117326584791906,0
-38.68218745348943,2.0117326584791906,0
-38.68218745348944,1.9830165526392474,0
-38.68218745348944,1.9830165526392474,0
-38.68218745348944,2.021308323994956,0
-38.68218745348944,2.021308323994956,0
-38.68218745348944,2.021308323994956,0
-38.68218745348944,2.021308323994956,0
-38.68218745348944,2.021308323994956,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.68218745348944,2.03088580635038,0
-38.396049957657716,2.0,0
-38.396049957657716,2.003284635318491,0
-38.396049957657716,2.003284635318491,0
-38.396049957657716,2.003284635318491,0
